23,"select run1, run2, arcsec, cts = sum (cts) from astrometry.budavari.Neighbors0#Star2#PixEq where run1 IN () and run2 IN () group by run1, run2, arcsec order by #, #, #"
2019-03-21 15:13:00,1
2019-03-21 15:43:00,1
2019-03-21 15:54:00,2
2019-03-21 15:55:00,1
2019-03-21 15:56:00,2
2019-03-21 16:06:00,1
2019-03-21 16:37:00,1
2019-03-21 16:43:00,2
2019-03-21 17:04:00,1
2019-03-21 17:37:00,1
2019-03-21 17:38:00,1
2019-04-29 12:35:00,1
2019-04-29 12:51:00,1
2019-04-29 16:13:00,1
2019-04-29 17:32:00,1
2019-04-29 17:42:00,1
2019-04-29 17:57:00,1
2019-04-29 17:58:00,1
2019-04-29 18:37:00,2
