2,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.class, s.subClass, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE AND (s.z < #)"
2019-10-15 07:19:00,1
2019-10-15 07:20:00,1
