78,select * from specline where specobjid = ../
2019-01-01 00:33:00,1
2019-01-02 14:42:00,1
2019-01-03 16:38:00,1
2019-01-06 04:13:00,1
2019-01-08 22:53:00,1
2019-01-11 07:45:00,1
2019-01-12 23:17:00,1
2019-01-16 12:57:00,1
2019-01-16 23:56:00,1
2019-01-19 21:48:00,1
2019-01-21 20:34:00,1
2019-01-22 11:39:00,1
2019-01-27 19:24:00,1
2019-02-05 11:49:00,1
2019-02-08 18:04:00,1
2019-02-11 05:43:00,1
2019-02-14 16:25:00,1
2019-02-20 00:58:00,1
2019-02-26 18:20:00,1
2019-03-01 14:50:00,1
2019-03-10 16:54:00,1
2019-03-12 04:10:00,1
2019-03-12 23:04:00,1
2019-03-19 01:46:00,1
2019-03-29 12:46:00,1
2019-04-05 06:43:00,1
2019-04-08 07:59:00,1
2019-04-10 23:31:00,1
2019-04-15 01:28:00,1
2019-04-23 17:26:00,1
2019-04-25 10:37:00,1
2019-04-26 20:16:00,1
2019-05-01 07:47:00,1
2019-05-07 21:23:00,1
2019-05-11 12:20:00,1
2019-05-21 09:00:00,1
2019-05-29 13:27:00,1
2019-05-31 13:49:00,1
2019-06-04 15:56:00,1
2019-06-07 19:04:00,1
2019-06-10 13:27:00,1
2019-06-27 07:17:00,1
2019-06-27 14:43:00,1
2019-06-28 05:41:00,1
2019-06-28 23:10:00,1
2019-07-02 01:04:00,1
2019-07-06 16:45:00,1
2019-07-14 17:55:00,1
2019-07-19 23:50:00,1
2019-07-23 11:53:00,1
2019-07-25 14:36:00,1
2019-07-28 14:44:00,1
2019-08-04 20:35:00,1
2019-08-09 18:46:00,1
2019-08-10 10:18:00,1
2019-08-10 22:51:00,1
2019-08-17 20:51:00,1
2019-08-22 22:49:00,1
2019-08-31 21:03:00,1
2019-09-03 05:37:00,1
2019-09-04 16:21:00,1
2019-09-10 04:26:00,1
2019-09-12 06:06:00,1
2019-09-18 20:04:00,1
2019-09-20 22:20:00,1
2019-09-23 19:49:00,1
2019-09-24 16:24:00,1
2019-09-27 21:30:00,1
2019-09-29 16:49:00,1
2019-10-03 06:38:00,1
2019-10-04 23:38:00,1
2019-10-06 22:19:00,1
2019-10-08 10:49:00,1
2019-10-12 07:48:00,1
2019-10-13 23:26:00,1
2019-10-16 02:24:00,1
2019-10-17 17:11:00,1
2019-10-21 23:17:00,1
