27,"SELECT TOP # bestObjID, z FROM SpecObj WHERE class = # AND zWarning = # AND survey = #"
2019-02-24 22:45:00,1
2019-03-04 12:53:00,1
2019-03-04 19:02:00,1
2019-03-04 21:18:00,1
2019-03-05 12:05:00,1
2019-03-05 12:07:00,1
2019-03-06 16:25:00,1
2019-03-06 17:48:00,1
2019-03-06 18:52:00,1
2019-03-07 12:20:00,1
2019-03-07 12:27:00,1
2019-03-07 16:20:00,1
2019-03-07 18:34:00,2
2019-03-10 12:44:00,1
2019-03-10 12:45:00,1
2019-03-12 15:04:00,1
2019-03-12 19:37:00,1
2019-03-15 11:41:00,1
2019-03-16 13:46:00,1
2019-03-16 17:18:00,1
2019-03-16 19:14:00,1
2019-03-17 09:34:00,1
2019-03-17 09:38:00,1
2019-03-17 11:21:00,1
2019-03-18 20:49:00,1
2019-04-26 18:09:00,1
