113,"SELECT ObjID, ra, dec, dered_u, dered_g, dered_r, dered_i, dered_z FROM Galaxy WHERE r< # AND ra between # and # AND dec between # and #"
2019-11-22 18:00:00,1
2019-11-22 18:08:00,1
2019-11-22 18:10:00,1
2019-11-22 18:15:00,1
2019-11-22 18:16:00,1
2019-11-22 18:26:00,1
2019-11-22 18:35:00,1
2019-11-22 18:39:00,1
2019-11-22 18:40:00,1
2019-11-22 18:42:00,1
2019-11-22 18:45:00,1
2019-11-22 18:46:00,1
2019-11-22 18:48:00,1
2019-11-22 18:49:00,1
2019-11-22 18:50:00,1
2019-11-22 18:51:00,1
2019-11-22 18:52:00,1
2019-11-22 18:54:00,1
2019-11-22 18:55:00,1
2019-11-22 18:56:00,1
2019-11-22 20:04:00,1
2019-11-22 20:05:00,1
2019-11-22 20:07:00,1
2019-11-22 20:08:00,1
2019-11-22 20:10:00,2
2019-11-22 20:14:00,1
2019-11-22 20:16:00,1
2019-11-22 20:17:00,1
2019-11-22 20:18:00,1
2019-11-22 20:19:00,1
2019-11-22 20:20:00,2
2019-11-22 20:21:00,1
2019-11-22 20:24:00,1
2019-11-22 20:25:00,2
2019-11-22 20:26:00,1
2019-11-22 20:27:00,1
2019-11-22 20:29:00,2
2019-11-22 20:30:00,2
2019-11-22 20:31:00,1
2019-11-22 20:32:00,1
2019-11-22 20:33:00,1
2019-11-22 20:34:00,1
2019-11-22 20:35:00,2
2019-11-22 20:36:00,1
2019-11-22 20:38:00,2
2019-11-22 20:41:00,1
2019-11-22 20:42:00,1
2019-11-22 20:43:00,2
2019-11-22 20:44:00,2
2019-11-22 20:45:00,1
2019-11-22 20:48:00,1
2019-11-22 20:49:00,1
2019-11-22 20:50:00,2
2019-11-22 20:51:00,1
2019-11-22 20:53:00,1
2019-11-22 20:54:00,2
2019-11-22 20:56:00,2
2019-11-22 20:58:00,1
2019-11-22 21:00:00,2
2019-11-22 21:01:00,1
2019-11-22 21:02:00,2
2019-11-22 21:03:00,1
2019-11-22 21:04:00,2
2019-11-22 21:05:00,2
2019-11-22 21:08:00,1
2019-11-22 21:10:00,1
2019-11-22 21:11:00,2
2019-11-22 21:12:00,1
2019-11-22 21:13:00,1
2019-11-22 21:14:00,2
2019-11-22 21:17:00,2
2019-11-22 21:18:00,1
2019-11-22 21:19:00,1
2019-11-22 21:21:00,1
2019-11-22 21:22:00,2
2019-11-22 21:23:00,1
2019-11-22 21:24:00,2
2019-11-22 21:27:00,2
2019-11-22 21:28:00,1
2019-11-22 21:29:00,1
2019-11-22 21:30:00,1
2019-11-22 21:31:00,2
2019-11-22 21:32:00,1
2019-11-22 21:33:00,1
2019-11-22 21:34:00,1
2019-11-22 21:36:00,1
2019-11-22 21:38:00,1
2019-11-22 21:41:00,1
2019-11-22 21:42:00,1
2019-11-22 21:43:00,1
