35,"SELECT TOP # s.plate, s.mjd, s.fiberid, s.z, s.zErr, s.zWarning, s.class, p.run, p.rerun, p.camCol, p.field, p.obj, cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.r, p.u, p.g, p.i, p.z FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = # AND (s.class = #) AND (p.type = #)"
2019-02-12 01:29:00,1
2019-02-14 00:48:00,1
2019-02-14 00:53:00,1
2019-02-14 00:57:00,1
2019-02-14 01:05:00,1
2019-02-14 01:10:00,1
2019-02-25 23:14:00,1
2019-02-25 23:16:00,1
2019-02-25 23:35:00,2
2019-02-25 23:49:00,1
2019-02-27 23:13:00,1
2019-02-27 23:14:00,1
2019-03-18 22:33:00,1
2019-11-19 01:55:00,1
2019-11-19 02:37:00,2
2019-11-21 01:24:00,1
2019-12-03 16:15:00,1
2019-12-03 16:54:00,1
2019-12-03 16:59:00,1
2019-12-03 17:02:00,1
2019-12-04 19:19:00,1
2019-12-04 19:20:00,1
2019-12-04 19:22:00,1
2019-12-04 22:26:00,2
2019-12-04 22:43:00,1
2019-12-04 22:44:00,1
2019-12-05 01:15:00,1
2019-12-12 00:21:00,1
2019-12-12 00:22:00,2
2019-12-12 00:23:00,2
