2,"select top # p.objid, p.u, p.g, p.r, p.i, p.z, s.z as redshift from star p, specobj s where p.objid = s.bestobjid and (p.u BETWEEN # AND #) and (p.g BETWEEN # AND #)"
2019-03-26 08:27:00,1
2019-03-26 08:28:00,1
