2,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.specobjid from photoobj p, specobj s, dbo.fgetNearByObjEq (#, .#, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid"
2019-04-30 17:05:00,1
2019-04-30 17:07:00,1
