33,select apstar_id from apogeestar where apogeestar.dec between .# and # and apogeestar.ra between # and #
2019-02-26 23:19:00,1
2019-02-27 01:30:00,3
2019-02-27 13:52:00,1
2019-02-28 03:58:00,1
2019-02-28 04:14:00,1
2019-02-28 06:57:00,1
2019-02-28 07:17:00,1
2019-03-06 06:42:00,1
2019-03-06 09:41:00,1
2019-03-06 10:45:00,1
2019-03-07 07:20:00,1
2019-03-14 08:23:00,1
2019-03-14 08:25:00,2
2019-03-14 08:29:00,1
2019-03-14 08:38:00,1
2019-03-14 08:39:00,1
2019-03-14 08:43:00,1
2019-03-14 08:54:00,1
2019-03-14 09:10:00,1
2019-03-14 09:50:00,3
2019-03-14 09:54:00,8
