152,select count (z) as num_redshift
2019-01-03 16:50:00,1
2019-01-04 22:47:00,1
2019-01-09 05:18:00,1
2019-01-09 05:19:00,1
2019-01-09 06:00:00,1
2019-02-08 13:48:00,1
2019-02-08 13:49:00,1
2019-02-10 21:59:00,1
2019-02-11 17:59:00,1
2019-02-11 18:27:00,1
2019-02-11 18:28:00,2
2019-02-11 19:29:00,1
2019-02-13 15:50:00,2
2019-02-13 16:04:00,1
2019-02-13 16:09:00,1
2019-02-13 16:10:00,1
2019-02-13 16:12:00,1
2019-02-13 16:21:00,1
2019-02-13 16:36:00,1
2019-02-21 21:36:00,1
2019-02-22 11:10:00,1
2019-02-22 11:11:00,1
2019-02-28 10:12:00,1
2019-03-01 12:41:00,1
2019-03-01 18:36:00,1
2019-03-07 14:42:00,1
2019-03-18 14:52:00,1
2019-03-22 19:30:00,1
2019-03-22 20:38:00,2
2019-03-23 09:44:00,1
2019-03-26 10:36:00,1
2019-03-28 14:56:00,1
2019-03-28 14:57:00,2
2019-04-02 09:43:00,1
2019-04-03 10:24:00,1
2019-04-04 01:40:00,1
2019-04-04 23:29:00,1
2019-04-09 23:02:00,1
2019-04-10 14:16:00,2
2019-04-17 00:16:00,1
2019-04-23 19:03:00,4
2019-04-23 19:04:00,1
2019-05-08 18:30:00,1
2019-05-10 10:26:00,1
2019-05-10 10:27:00,1
2019-05-10 10:35:00,1
2019-05-18 18:57:00,1
2019-05-20 19:09:00,1
2019-05-27 17:09:00,1
2019-05-27 21:12:00,1
2019-06-03 19:50:00,1
2019-06-07 10:18:00,1
2019-06-10 17:01:00,1
2019-06-12 17:15:00,1
2019-06-12 17:16:00,1
2019-06-14 15:00:00,1
2019-06-14 15:09:00,1
2019-06-14 15:11:00,1
2019-06-14 18:51:00,1
2019-06-19 14:13:00,1
2019-06-20 02:11:00,1
2019-06-20 03:52:00,1
2019-06-20 03:56:00,1
2019-06-20 08:40:00,1
2019-06-20 14:04:00,2
2019-06-20 14:05:00,1
2019-06-21 18:23:00,1
2019-06-21 18:24:00,2
2019-06-24 22:47:00,1
2019-06-25 14:24:00,1
2019-06-27 10:45:00,1
2019-07-03 07:01:00,1
2019-07-03 18:27:00,1
2019-07-10 08:35:00,2
2019-07-18 03:38:00,1
2019-07-23 17:24:00,1
2019-07-24 05:13:00,1
2019-07-24 05:14:00,1
2019-07-24 05:26:00,1
2019-07-24 05:35:00,1
2019-07-24 05:37:00,1
2019-07-25 11:17:00,1
2019-08-13 09:43:00,1
2019-08-14 13:59:00,1
2019-08-14 20:29:00,1
2019-08-15 13:09:00,1
2019-08-19 06:21:00,1
2019-08-20 07:40:00,1
2019-08-22 23:59:00,2
2019-08-23 00:00:00,1
2019-08-23 00:02:00,1
2019-09-04 12:01:00,1
2019-09-13 16:49:00,1
2019-09-13 16:52:00,1
2019-09-13 16:53:00,1
2019-09-19 03:22:00,2
2019-09-19 19:19:00,1
2019-09-23 19:41:00,1
2019-09-23 19:56:00,1
2019-09-28 23:30:00,1
2019-09-30 02:02:00,1
2019-10-02 14:33:00,5
2019-10-02 14:34:00,2
2019-10-04 19:40:00,1
2019-10-04 19:41:00,1
2019-10-08 14:17:00,1
2019-10-09 15:11:00,1
2019-10-15 05:28:00,1
2019-10-15 05:29:00,1
2019-10-15 19:58:00,1
2019-10-25 07:10:00,1
2019-11-01 07:09:00,1
2019-11-05 21:08:00,1
2019-11-07 13:06:00,1
2019-11-08 08:40:00,1
2019-11-13 08:00:00,1
2019-11-13 08:01:00,1
2019-11-15 08:04:00,1
2019-11-21 11:05:00,1
2019-11-27 06:29:00,1
2019-11-28 07:45:00,1
2019-11-29 11:48:00,1
2019-12-05 07:19:00,1
2019-12-05 07:24:00,1
2019-12-11 12:12:00,1
2019-12-11 12:14:00,1
2019-12-22 07:12:00,1
2019-12-22 07:14:00,1
2019-12-22 15:30:00,1
2019-12-22 17:28:00,3
2019-12-23 05:36:00,1
2019-12-25 13:02:00,1
