46,"SELECT s.ra, s.dec, s.u, s.g, s.r, s.i, s.z FROM Star AS s WHERE s.ra > # AND s.ra < # AND s.dec > # AND s.dec < #"
2019-12-07 02:28:00,20
2019-12-07 02:29:00,10
2019-12-07 02:30:00,4
2019-12-07 02:31:00,4
2019-12-07 02:32:00,1
2019-12-07 02:33:00,3
2019-12-07 02:34:00,4
