2,"SELECT p.ObjID, p.ra, p.dec, f.rms, s.z, p.modelMag_g, ph.lumDist FROM PhotoObj p JOIN specObj s ON s.bestObjID = p.objID JOIN [FIRST] f ON f.objID = p.objID JOIN Photoz ph ON ph.objID = p.objID WHERE s.class = # AND s.z between # and # AND f.rms BETWEEN # AND # AND ph.lumDist < #"
2019-11-09 20:15:00,1
2019-11-09 20:16:00,1
