5,"select top # m.*, cm.content from computemessages cm join messages m on cm.row_id = m.row_id and m.method like #"
2019-09-30 13:41:00,1
2019-09-30 13:42:00,1
2019-09-30 13:44:00,2
2019-09-30 13:45:00,1
