90,SELECT DISTINCT p.petroMag_i FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )
2019-03-22 22:59:00,1
2019-03-22 23:13:00,22
2019-03-22 23:15:00,67
