2,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.plate, s.mjd, p.type, from star p, specobj s where p.objid = s.bestobjid and (p.i BETWEEN # AND #)"
2019-12-25 13:31:00,1
2019-12-25 13:32:00,1
