826,"SELECT DISTINCT survey, programname FROM platex ORDER BY survey"
2019-01-01 10:00:00,1
2019-01-01 11:08:00,1
2019-01-02 00:18:00,1
2019-01-02 00:47:00,1
2019-01-02 01:52:00,1
2019-01-03 11:16:00,1
2019-01-03 17:42:00,1
2019-01-05 02:33:00,1
2019-01-05 09:17:00,1
2019-01-05 18:32:00,1
2019-01-06 03:30:00,1
2019-01-06 12:40:00,1
2019-01-07 00:09:00,1
2019-01-07 16:18:00,1
2019-01-07 23:30:00,1
2019-01-08 02:02:00,1
2019-01-08 03:28:00,1
2019-01-08 03:51:00,1
2019-01-08 06:26:00,1
2019-01-08 06:52:00,1
2019-01-08 07:27:00,1
2019-01-08 08:40:00,1
2019-01-08 17:18:00,1
2019-01-09 22:17:00,1
2019-01-10 02:35:00,1
2019-01-10 22:45:00,1
2019-01-11 04:42:00,1
2019-01-12 03:11:00,1
2019-01-12 09:02:00,1
2019-01-13 08:29:00,1
2019-01-13 09:08:00,1
2019-01-14 11:41:00,1
2019-01-17 06:16:00,1
2019-01-17 22:56:00,1
2019-01-18 13:42:00,1
2019-01-19 20:47:00,1
2019-01-20 13:05:00,1
2019-01-20 13:06:00,7
2019-01-20 13:07:00,1
2019-01-22 08:26:00,1
2019-01-22 09:06:00,1
2019-01-22 15:15:00,1
2019-01-22 21:19:00,1
2019-01-23 23:26:00,1
2019-01-24 13:45:00,1
2019-01-25 15:56:00,1
2019-01-25 17:35:00,1
2019-01-26 13:33:00,1
2019-01-26 22:21:00,1
2019-01-27 00:12:00,1
2019-01-27 12:53:00,1
2019-01-27 16:23:00,1
2019-01-27 22:42:00,1
2019-01-28 16:03:00,1
2019-01-28 16:09:00,1
2019-01-29 03:46:00,1
2019-01-29 23:17:00,1
2019-01-30 09:29:00,1
2019-01-30 18:15:00,2
2019-01-31 00:38:00,1
2019-01-31 15:47:00,1
2019-01-31 19:56:00,1
2019-01-31 22:26:00,1
2019-02-01 11:49:00,1
2019-02-01 23:24:00,1
2019-02-02 12:53:00,1
2019-02-02 15:42:00,1
2019-02-04 13:39:00,1
2019-02-04 14:11:00,1
2019-02-04 14:40:00,1
2019-02-07 08:49:00,1
2019-02-08 01:31:00,1
2019-02-08 05:16:00,1
2019-02-08 13:12:00,1
2019-02-08 18:11:00,1
2019-02-08 19:29:00,1
2019-02-08 21:49:00,1
2019-02-08 22:16:00,1
2019-02-09 06:27:00,1
2019-02-09 14:07:00,1
2019-02-09 17:33:00,1
2019-02-09 20:21:00,1
2019-02-10 05:50:00,1
2019-02-10 09:42:00,1
2019-02-11 02:48:00,1
