2,"SELECT ga.specobjid into mydb.gaoi from GalSpecLine as ga, specobj as s WHERE ga.oiii_#_flux > ga.oiii_#_flux_err*# AND zwarning = #"
2019-06-07 06:31:00,1
2019-06-07 06:32:00,1
