2,"SELECT p.objid, p.ra, p.dec, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN (#-#) AND (#+#) AND p.dec BETWEEN (#-#) AND (#+#) AND p.type = #"
2019-12-02 17:48:00,1
2019-12-02 17:49:00,1
