29,"select Milliseconds, Bytes, MediaTypeId from chinook.Track"
2019-04-10 17:58:00,1
2019-04-10 17:59:00,1
2019-04-10 18:00:00,1
2019-04-10 18:01:00,3
2019-04-10 18:48:00,2
2019-04-17 11:08:00,2
2019-04-22 15:51:00,1
2019-04-22 15:54:00,1
2019-04-22 15:55:00,2
2019-04-22 16:03:00,1
2019-04-22 16:04:00,1
2019-04-22 18:50:00,1
2019-04-22 18:51:00,3
2019-04-24 00:53:00,1
2019-04-24 00:54:00,2
2019-04-24 00:55:00,2
2019-04-24 15:18:00,1
2019-04-24 15:21:00,1
2019-04-24 16:49:00,1
2019-04-24 16:52:00,1
