22,"SELECT p.ra, p.dec, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroMagErr_u, p.petroMagErr_g, p.petroMagErr_r, p.petroMagErr_i, p.petroMagErr_z, p.extinction_g, p.extinction_i, p.extinction_r, p.extinction_u FROM BESTDR7..Galaxy AS p JOIN #x AS x ON x.objID = p.objID JOIN #upload AS u ON u.up_id = x.up_id ORDER BY x.up_id"
2019-04-16 16:16:00,1
2019-04-16 16:17:00,1
2019-04-16 16:19:00,1
2019-04-16 16:26:00,1
2019-04-17 01:38:00,1
2019-04-17 01:40:00,1
2019-04-17 01:41:00,1
2019-04-17 01:42:00,1
2019-04-17 01:43:00,1
2019-04-17 01:44:00,1
2019-04-17 01:48:00,1
2019-04-17 01:49:00,1
2019-04-17 01:50:00,1
2019-04-17 01:51:00,1
2019-04-17 01:52:00,2
2019-05-02 14:36:00,1
2019-05-02 14:39:00,2
2019-05-02 14:40:00,1
2019-05-02 14:44:00,1
2019-05-02 14:45:00,1
