835,select top # * from [MyTable]
2019-01-03 15:24:00,1
2019-01-03 15:25:00,2
2019-01-07 14:12:00,1
2019-01-08 06:02:00,1
2019-01-09 14:29:00,1
2019-01-14 09:21:00,1
2019-01-15 03:12:00,1
2019-01-15 03:16:00,1
2019-01-15 06:37:00,1
2019-01-15 06:38:00,1
2019-01-15 06:40:00,1
2019-01-15 12:36:00,1
2019-01-16 14:09:00,1
2019-01-17 07:28:00,5
2019-01-17 10:40:00,1
2019-01-18 08:34:00,1
2019-01-18 09:34:00,1
2019-01-19 19:07:00,1
2019-01-21 15:11:00,1
2019-01-23 15:31:00,1
2019-01-25 05:41:00,1
2019-01-25 06:46:00,1
2019-01-25 07:27:00,1
2019-01-25 07:28:00,1
2019-01-25 07:55:00,1
2019-01-25 08:10:00,1
2019-01-25 09:49:00,1
2019-01-25 09:50:00,2
2019-01-27 00:24:00,1
2019-01-27 15:05:00,1
2019-01-27 15:27:00,1
2019-01-28 02:59:00,1
2019-01-30 01:04:00,1
2019-01-30 12:55:00,1
2019-01-30 13:32:00,1
2019-01-31 18:21:00,1
2019-02-01 12:04:00,1
2019-02-01 12:07:00,1
2019-02-01 12:12:00,1
2019-02-01 12:13:00,1
2019-02-01 12:39:00,1
2019-02-01 16:53:00,1
2019-02-02 02:49:00,1
2019-02-02 04:09:00,1
2019-02-02 15:06:00,1
2019-02-03 09:31:00,1
2019-02-05 12:45:00,1
2019-02-07 06:22:00,1
2019-02-08 12:10:00,1
2019-02-08 12:15:00,1
2019-02-09 14:32:00,1
2019-02-11 04:09:00,1
2019-02-11 04:15:00,1
2019-02-11 04:31:00,1
2019-02-12 05:03:00,2
2019-02-12 10:01:00,1
2019-02-12 12:05:00,2
2019-02-12 12:29:00,1
2019-02-15 16:48:00,1
2019-02-19 07:07:00,1
2019-02-20 09:36:00,1
2019-02-21 14:57:00,1
2019-02-22 04:58:00,1
2019-02-22 06:09:00,1
2019-02-22 06:11:00,1
2019-02-22 11:47:00,1
2019-02-22 18:52:00,1
2019-02-23 07:48:00,1
2019-02-23 09:14:00,1
2019-02-24 00:20:00,1
2019-02-24 00:22:00,1
2019-02-24 00:37:00,1
2019-02-24 00:38:00,1
2019-02-24 00:40:00,1
2019-02-25 10:30:00,1
2019-02-25 10:45:00,1
2019-02-25 15:10:00,3
2019-02-25 15:11:00,2
2019-02-26 08:46:00,1
2019-02-26 09:16:00,1
2019-02-26 11:19:00,1
2019-02-27 12:32:00,1
2019-02-27 12:52:00,1
2019-02-28 02:35:00,1
2019-02-28 11:20:00,1
2019-02-28 12:07:00,1
2019-03-01 05:50:00,1
2019-03-03 18:46:00,1
2019-03-04 07:41:00,1
2019-03-04 08:59:00,1
2019-03-04 09:02:00,1
2019-03-04 10:10:00,1
2019-03-04 17:14:00,1
