4,"SELECT modelMag_g, modelMag_r FROM PhotoPrimary WHERE (ra between # and #) and (dec between # and #) and Type = #"
2019-03-07 17:48:00,1
2019-03-07 17:49:00,2
2019-03-07 17:50:00,1
