15,"SELECT u.up_col0 as col0, #< a target = INFO href = http://skyserver.sdss.org/DR1#/en/tools/explore/obj.aspx? id = # + cast (x.objId as varchar (#) ) + #> #+ cast (x.objId as varchar (#) ) + #< /a> # as objID, p.ra, p.dec, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, s.specobjid, s.class, s.z as redshift FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoTag p ON p.objID = x.objID JOIN SpecObj AS s ON s.bestobjid = p.objid ORDER by x.up_id##', @log = #, @filter = #"
2019-07-15 18:46:00,1
2019-07-15 18:47:00,1
2019-07-15 18:50:00,2
2019-07-15 18:51:00,2
2019-07-15 18:52:00,2
2019-07-15 18:53:00,1
2019-07-15 18:54:00,1
2019-07-15 18:55:00,1
2019-07-15 18:56:00,1
2019-07-15 19:04:00,1
2019-07-15 19:05:00,1
2019-07-15 19:06:00,1
