89,"SELECT TOP # p.ra, p.dec, s.plate, s.mjd, s.fiberid FROM BESTDR7..SpecObj as s JOIN BESTDR7..PhotoObj AS p ON s.bestObjID = p.objID JOIN #x AS x ON x.objID = p.objID JOIN #upload AS u ON u.up_id = x.up_id WHERE (p.type = # OR p.type = #) ORDER BY x.up_id"
2019-01-01 12:17:00,2
2019-01-01 12:18:00,2
2019-01-01 12:19:00,1
2019-01-01 12:20:00,1
2019-01-01 12:21:00,2
2019-01-29 17:07:00,1
2019-02-01 10:30:00,2
2019-02-01 10:31:00,2
2019-02-24 17:18:00,1
2019-02-24 17:24:00,1
2019-02-24 17:27:00,5
2019-02-24 17:28:00,6
2019-02-24 17:29:00,1
2019-02-24 17:32:00,1
2019-02-24 17:34:00,1
2019-02-24 17:37:00,1
2019-02-24 17:38:00,1
2019-02-24 17:39:00,2
2019-02-24 17:41:00,1
2019-02-24 17:43:00,1
2019-02-24 17:49:00,1
2019-02-24 17:55:00,1
2019-02-24 17:59:00,1
2019-02-24 18:02:00,1
2019-02-24 18:06:00,1
2019-02-24 18:09:00,1
2019-02-24 18:10:00,1
2019-02-24 18:12:00,1
2019-02-24 18:15:00,1
2019-02-24 18:17:00,1
2019-02-24 18:18:00,1
2019-03-08 07:06:00,1
2019-03-08 07:07:00,1
2019-03-10 07:43:00,2
2019-04-22 07:02:00,1
2019-04-22 07:14:00,1
2019-05-02 14:39:00,1
2019-05-02 14:40:00,1
2019-05-30 08:54:00,1
2019-06-04 19:05:00,2
2019-06-04 19:06:00,1
2019-06-11 15:37:00,2
2019-06-11 17:04:00,2
2019-06-11 17:10:00,1
2019-06-11 17:39:00,3
2019-09-10 15:17:00,2
2019-09-10 15:19:00,3
2019-09-10 15:20:00,2
2019-09-25 15:53:00,2
2019-10-06 12:20:00,1
2019-10-06 12:22:00,2
2019-10-06 12:23:00,2
2019-10-06 12:24:00,2
2019-10-06 12:25:00,3
2019-10-06 12:26:00,2
2019-10-06 12:27:00,1
2019-10-31 03:59:00,1
