11,"SELECT ALL p.ra, p.dec, p.objID, p.expAB_r FROM Galaxy AS p WHERE p.objID = # AND log1# (p.expAB_r) < #"
2019-11-23 03:16:00,9
2019-11-23 03:17:00,1
2019-11-23 03:28:00,1
