429,"SELECT ra, dec FROM star WHERE (ra between # and #) and (dec between # and #) and (petroMag_g < #) and (petroMag_g> #)"
2019-02-26 15:02:00,1
2019-02-26 15:07:00,2
2019-02-26 15:08:00,1
2019-02-26 15:09:00,2
2019-02-26 15:14:00,1
2019-02-26 15:15:00,1
2019-02-26 15:46:00,1
2019-02-26 15:51:00,1
2019-02-26 15:58:00,1
2019-02-26 16:11:00,1
2019-02-26 16:20:00,1
2019-02-26 16:22:00,1
2019-02-26 16:25:00,1
2019-02-26 16:26:00,1
2019-02-26 17:04:00,1
2019-02-26 17:08:00,1
2019-02-26 17:22:00,1
2019-02-26 17:24:00,1
2019-02-26 17:29:00,1
2019-02-26 17:35:00,1
2019-02-26 17:37:00,1
2019-02-26 17:42:00,1
2019-02-26 19:33:00,1
2019-02-26 19:38:00,1
2019-02-26 19:44:00,1
2019-02-26 19:47:00,1
2019-02-26 19:52:00,1
2019-02-26 19:55:00,1
2019-02-26 19:56:00,1
2019-02-26 19:59:00,1
2019-02-26 20:04:00,1
2019-02-26 20:14:00,1
2019-02-26 20:15:00,1
2019-02-26 20:17:00,1
2019-02-26 20:19:00,1
2019-02-26 20:21:00,1
2019-02-26 20:30:00,1
2019-02-26 20:32:00,1
2019-02-26 20:34:00,1
2019-02-26 20:38:00,1
2019-02-26 20:47:00,1
2019-02-26 20:49:00,1
2019-02-26 21:20:00,1
2019-02-26 21:29:00,1
2019-02-26 21:32:00,1
2019-02-26 23:06:00,1
2019-02-26 23:07:00,1
2019-02-26 23:09:00,1
2019-02-26 23:10:00,1
2019-02-26 23:12:00,1
2019-02-26 23:15:00,1
2019-02-26 23:16:00,1
2019-02-26 23:19:00,1
2019-02-26 23:33:00,1
2019-02-26 23:39:00,1
2019-02-26 23:47:00,1
2019-02-26 23:48:00,1
2019-02-26 23:54:00,1
2019-02-26 23:56:00,1
2019-02-27 00:01:00,1
2019-02-27 00:04:00,1
2019-02-27 02:45:00,1
2019-02-27 16:26:00,1
2019-02-27 17:32:00,1
2019-02-27 17:34:00,1
2019-02-27 17:41:00,1
2019-02-27 17:43:00,1
2019-02-27 17:54:00,1
2019-02-27 17:57:00,1
2019-02-27 17:58:00,2
2019-02-27 18:43:00,1
2019-02-27 18:47:00,1
2019-02-27 18:50:00,1
2019-02-27 18:57:00,1
2019-02-27 19:39:00,1
2019-02-28 15:18:00,1
2019-02-28 15:25:00,1
2019-02-28 15:51:00,1
2019-02-28 18:09:00,1
2019-02-28 18:11:00,1
2019-02-28 18:28:00,1
2019-02-28 18:29:00,1
2019-03-01 01:34:00,1
2019-03-01 03:13:00,1
2019-03-04 15:03:00,1
2019-03-04 15:05:00,1
2019-03-04 15:09:00,1
2019-03-04 15:29:00,1
2019-03-04 15:31:00,1
2019-03-04 15:40:00,1
2019-03-04 15:43:00,1
2019-03-04 15:48:00,1
2019-03-04 16:13:00,1
2019-03-04 16:19:00,1
2019-03-04 17:26:00,1
2019-03-04 17:34:00,1
2019-03-04 17:36:00,1
2019-03-04 17:41:00,1
2019-03-05 16:58:00,1
2019-03-05 20:29:00,1
2019-03-05 20:34:00,2
2019-03-05 20:37:00,1
2019-03-05 20:50:00,1
2019-03-05 21:00:00,1
2019-03-05 21:05:00,1
2019-03-05 21:08:00,1
2019-03-05 21:13:00,1
2019-03-05 21:19:00,1
2019-03-05 21:25:00,1
2019-03-05 21:39:00,1
2019-03-05 21:42:00,1
2019-03-05 21:46:00,1
2019-03-06 00:47:00,1
2019-03-06 00:48:00,1
2019-03-06 00:52:00,1
2019-03-06 00:55:00,1
2019-03-06 00:58:00,1
2019-03-06 01:20:00,1
2019-03-06 19:29:00,1
2019-03-06 19:37:00,1
2019-03-06 19:40:00,1
2019-03-06 19:43:00,1
2019-03-06 19:45:00,1
2019-03-06 19:49:00,1
2019-03-06 20:57:00,1
2019-03-06 21:22:00,1
2019-03-06 21:24:00,1
2019-03-06 21:27:00,1
2019-03-06 21:29:00,1
2019-03-06 22:26:00,1
2019-03-06 22:31:00,1
2019-03-06 22:35:00,1
2019-03-06 22:38:00,1
2019-03-06 22:41:00,1
2019-03-06 22:43:00,1
2019-03-06 22:49:00,1
2019-03-06 22:53:00,1
2019-03-07 02:17:00,1
2019-03-07 02:25:00,1
2019-03-07 02:26:00,1
2019-03-07 02:27:00,1
2019-03-07 02:28:00,1
2019-03-07 13:24:00,1
2019-03-07 13:25:00,1
2019-03-07 13:26:00,1
2019-03-07 13:29:00,1
2019-03-07 13:36:00,1
2019-03-07 13:37:00,1
2019-03-07 13:38:00,1
2019-03-07 13:48:00,1
2019-03-07 13:50:00,1
2019-03-07 13:51:00,1
2019-03-07 16:24:00,1
2019-03-07 16:36:00,1
2019-03-07 16:49:00,1
2019-03-07 16:58:00,1
2019-03-07 16:59:00,1
2019-03-07 17:04:00,1
2019-03-07 18:26:00,1
2019-03-07 18:40:00,1
2019-03-07 18:43:00,1
2019-03-07 18:51:00,1
2019-03-07 18:55:00,1
2019-03-07 18:57:00,1
2019-03-07 19:27:00,1
2019-03-07 20:52:00,1
2019-03-07 20:53:00,1
2019-03-07 20:57:00,1
2019-03-07 21:09:00,1
2019-03-07 21:11:00,1
2019-03-07 21:19:00,1
2019-03-07 21:22:00,1
2019-03-07 21:35:00,1
2019-03-07 21:46:00,1
2019-03-07 21:48:00,1
2019-03-07 21:50:00,1
2019-03-07 21:58:00,1
2019-03-07 22:04:00,1
2019-03-07 22:06:00,1
2019-03-07 23:02:00,1
2019-03-07 23:06:00,1
2019-03-07 23:08:00,1
2019-03-07 23:11:00,1
2019-03-07 23:19:00,1
2019-03-07 23:21:00,1
2019-03-07 23:23:00,1
2019-03-07 23:27:00,1
2019-03-07 23:29:00,1
2019-03-07 23:31:00,1
2019-03-07 23:35:00,1
2019-03-07 23:37:00,1
2019-03-07 23:38:00,2
2019-03-07 23:39:00,1
2019-03-07 23:40:00,1
2019-03-07 23:41:00,1
2019-03-07 23:43:00,1
2019-03-07 23:45:00,1
2019-03-07 23:48:00,1
2019-03-08 00:03:00,1
2019-03-08 02:47:00,1
2019-03-08 02:50:00,1
2019-03-08 02:54:00,1
2019-03-08 03:02:00,1
2019-03-08 03:03:00,1
2019-03-08 03:07:00,1
2019-03-08 03:11:00,1
2019-03-08 03:14:00,1
2019-03-08 03:16:00,1
2019-03-08 03:17:00,1
2019-03-08 03:19:00,1
2019-03-08 03:20:00,1
2019-03-08 03:22:00,1
2019-03-08 03:27:00,1
2019-03-08 03:29:00,1
2019-03-08 03:42:00,1
2019-03-08 03:44:00,1
2019-03-08 03:46:00,1
2019-03-08 03:51:00,1
2019-03-08 03:53:00,1
2019-03-08 13:46:00,1
2019-03-08 13:50:00,1
2019-03-08 14:01:00,1
2019-03-08 14:09:00,1
2019-03-08 14:13:00,1
2019-03-08 14:14:00,1
2019-03-08 15:28:00,1
2019-03-08 16:12:00,1
2019-03-08 17:28:00,1
2019-03-08 17:33:00,1
2019-03-08 17:36:00,1
2019-03-08 17:38:00,1
2019-03-09 03:37:00,1
2019-03-09 03:44:00,1
2019-03-09 12:25:00,1
2019-03-09 12:44:00,1
2019-03-09 12:46:00,1
2019-03-10 01:48:00,1
2019-03-10 01:49:00,1
2019-03-10 02:15:00,1
2019-03-10 03:47:00,1
2019-03-10 03:48:00,1
2019-03-10 10:20:00,1
2019-03-11 21:55:00,1
2019-03-11 21:57:00,2
2019-03-11 22:01:00,1
2019-03-11 22:03:00,1
2019-03-11 23:49:00,1
2019-03-11 23:57:00,1
2019-03-12 16:55:00,1
2019-03-12 16:57:00,1
2019-03-12 17:05:00,1
2019-03-18 10:32:00,1
2019-03-18 10:33:00,1
2019-03-18 10:37:00,1
2019-03-18 11:00:00,1
2019-03-18 11:02:00,1
2019-03-18 11:03:00,1
2019-03-18 11:04:00,1
2019-03-18 11:05:00,1
2019-03-21 13:52:00,1
2019-03-21 13:58:00,2
2019-03-21 15:45:00,1
2019-03-21 15:49:00,1
2019-03-21 15:53:00,1
2019-03-21 15:58:00,1
2019-03-21 16:01:00,1
2019-03-21 16:08:00,1
2019-03-21 16:12:00,1
2019-03-21 16:13:00,1
2019-03-21 16:16:00,1
2019-03-21 16:17:00,1
2019-03-21 16:18:00,1
2019-03-21 16:26:00,1
2019-03-21 16:27:00,1
2019-03-21 16:50:00,1
2019-03-21 16:53:00,1
2019-03-21 17:01:00,1
2019-03-21 17:24:00,1
2019-03-21 17:25:00,1
2019-03-21 17:27:00,1
2019-03-21 17:29:00,1
2019-03-21 17:33:00,1
2019-03-21 17:35:00,1
2019-03-21 17:40:00,1
2019-03-21 17:44:00,1
2019-03-21 17:51:00,1
2019-03-21 17:57:00,1
2019-03-21 17:59:00,1
2019-03-21 18:00:00,1
2019-03-21 18:14:00,1
2019-03-21 18:15:00,1
2019-03-21 18:24:00,1
2019-03-21 18:30:00,1
2019-03-21 18:39:00,1
2019-03-21 19:15:00,1
2019-03-21 19:18:00,1
2019-03-21 19:20:00,1
2019-03-21 19:24:00,1
2019-03-21 19:26:00,2
2019-03-22 01:24:00,1
2019-03-22 01:25:00,1
2019-03-22 01:51:00,1
2019-03-22 01:52:00,1
2019-03-22 01:55:00,1
2019-03-22 01:56:00,1
2019-03-22 01:57:00,1
2019-03-22 01:59:00,1
2019-03-22 02:00:00,1
2019-03-22 02:02:00,2
2019-03-22 02:36:00,1
2019-03-22 02:37:00,1
2019-03-22 02:38:00,1
2019-03-22 02:40:00,1
2019-03-22 02:41:00,1
2019-03-22 03:30:00,1
2019-03-22 03:33:00,1
2019-03-22 03:36:00,1
2019-03-22 03:37:00,2
2019-03-22 03:42:00,1
2019-03-22 12:48:00,2
2019-03-22 12:50:00,1
2019-03-22 12:53:00,1
2019-03-22 12:54:00,1
2019-03-22 12:56:00,1
2019-03-22 13:03:00,1
2019-03-22 13:06:00,1
2019-03-22 13:14:00,1
2019-03-22 13:15:00,1
2019-03-22 13:17:00,1
2019-03-22 14:20:00,1
2019-03-22 14:22:00,1
2019-03-22 14:30:00,1
2019-03-22 14:32:00,1
2019-03-22 15:10:00,1
2019-03-22 15:11:00,1
2019-03-22 15:14:00,1
2019-03-22 15:16:00,1
2019-03-22 15:20:00,1
2019-03-22 15:35:00,1
2019-03-22 15:41:00,1
2019-03-22 15:44:00,1
2019-03-22 15:45:00,1
2019-03-22 15:47:00,1
2019-03-22 18:14:00,1
2019-03-22 18:22:00,1
2019-03-22 18:26:00,1
2019-03-22 20:06:00,1
2019-03-22 20:11:00,1
2019-03-22 20:12:00,1
2019-03-22 20:13:00,1
2019-03-22 20:14:00,1
2019-03-22 20:18:00,1
2019-03-22 20:34:00,1
2019-03-22 20:47:00,1
2019-03-22 20:49:00,1
2019-03-22 20:51:00,1
2019-03-22 20:53:00,1
2019-03-22 20:55:00,1
2019-03-22 20:57:00,1
2019-03-22 21:28:00,1
2019-03-22 21:30:00,1
2019-03-22 21:35:00,1
2019-03-22 21:43:00,1
2019-03-22 21:44:00,1
2019-03-22 22:02:00,1
2019-03-22 22:43:00,1
2019-03-22 22:45:00,1
2019-03-22 22:47:00,1
2019-03-22 22:49:00,1
2019-03-22 22:50:00,1
2019-03-22 22:51:00,1
2019-03-22 22:54:00,1
2019-03-22 22:56:00,1
2019-03-22 22:57:00,1
2019-03-22 23:07:00,2
2019-03-22 23:11:00,1
2019-03-22 23:14:00,1
2019-03-23 01:23:00,1
2019-03-23 01:24:00,1
2019-03-23 04:14:00,1
2019-03-23 04:16:00,1
2019-03-23 04:17:00,1
2019-03-23 05:24:00,1
2019-03-23 05:26:00,1
2019-03-23 05:27:00,1
2019-03-23 05:28:00,1
2019-03-23 05:29:00,1
2019-03-23 05:30:00,1
2019-03-23 05:32:00,1
2019-03-23 05:34:00,1
2019-03-23 05:35:00,1
2019-03-23 05:39:00,1
2019-03-23 05:41:00,1
2019-03-23 05:43:00,1
2019-03-23 05:45:00,1
2019-03-23 05:46:00,1
2019-03-23 05:52:00,1
2019-03-23 05:54:00,1
2019-03-23 06:15:00,1
2019-03-23 08:08:00,1
2019-03-23 08:14:00,1
2019-03-23 08:28:00,1
2019-03-23 18:53:00,1
2019-03-23 18:57:00,1
2019-03-23 19:07:00,1
2019-03-23 19:09:00,1
2019-03-23 19:13:00,1
2019-03-23 19:14:00,1
2019-03-23 19:34:00,1
2019-03-23 19:38:00,1
2019-03-23 19:39:00,1
2019-03-26 15:22:00,1
2019-03-26 15:27:00,1
2019-03-26 15:34:00,1
2019-03-26 15:35:00,1
2019-03-26 15:37:00,1
2019-03-26 15:43:00,1
