15,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.specClass, s.z, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-02-04 15:02:00,1
2019-02-04 15:03:00,2
2019-03-07 09:08:00,2
2019-03-07 09:09:00,2
2019-04-12 09:41:00,1
2019-04-16 14:45:00,1
2019-04-16 14:47:00,1
2019-09-25 23:44:00,1
2019-09-26 17:21:00,1
2019-09-26 17:27:00,1
2019-09-26 18:02:00,1
2019-09-26 18:08:00,1
