27,"SELECT TOP # cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.u, p.g, p.r, p.i, p.z FROM ..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = # OR p.type = #)"
2019-01-21 19:20:00,1
2019-01-26 18:49:00,1
2019-01-31 20:57:00,1
2019-02-01 05:17:00,3
2019-02-01 05:18:00,1
2019-02-01 05:22:00,1
2019-02-05 22:37:00,1
2019-02-05 22:38:00,1
2019-02-15 14:45:00,1
2019-02-15 15:40:00,1
2019-02-18 12:00:00,1
2019-07-17 04:18:00,2
2019-09-06 21:05:00,1
2019-09-07 01:28:00,1
2019-09-08 19:51:00,1
2019-09-10 03:26:00,1
2019-09-10 03:27:00,1
2019-09-10 03:28:00,1
2019-09-11 04:30:00,2
2019-09-13 03:23:00,1
2019-09-13 07:30:00,1
2019-09-13 07:32:00,1
2019-12-11 03:35:00,1
