776,"select p.ra, p.dec, p.z, p.Err_z from STAR as p inner join dbo.fGetNearbyObjEq (#, #, #) as N on p.objid = N.objid where ( (p.flags & #) ! = #) AND ( (p.flags & #) = #) AND ( ((p.flags & #) = #) AND (p.psfmagerr_z < = #) ) AND ( ((p.flags & #) = #) or (p.flags & #) = #)"
2019-01-01 03:33:00,1
2019-01-01 04:18:00,1
2019-01-01 12:42:00,1
2019-01-01 13:25:00,1
2019-01-03 03:42:00,1
2019-01-03 05:52:00,1
2019-01-03 11:32:00,1
2019-01-04 08:12:00,1
2019-01-04 13:57:00,1
2019-01-06 01:32:00,1
2019-01-07 07:47:00,1
2019-01-07 11:16:00,1
2019-01-08 07:59:00,1
2019-01-09 11:01:00,1
2019-01-09 19:37:00,1
2019-01-11 06:49:00,1
2019-01-11 12:01:00,1
2019-01-12 03:39:00,1
2019-01-12 13:56:00,1
2019-01-13 08:18:00,1
2019-01-13 08:36:00,1
2019-01-13 17:05:00,1
2019-01-13 17:17:00,1
2019-01-13 17:35:00,1
2019-01-14 12:26:00,1
2019-01-14 15:27:00,1
2019-01-17 04:34:00,1
2019-01-17 15:14:00,1
2019-01-18 09:53:00,1
2019-01-18 09:56:00,1
2019-01-18 10:09:00,1
2019-01-18 10:11:00,1
2019-01-18 10:22:00,1
2019-01-18 10:34:00,1
2019-01-18 10:57:00,1
2019-01-19 08:01:00,1
2019-01-19 13:21:00,1
2019-01-21 10:38:00,1
2019-01-21 10:39:00,2
2019-01-21 10:40:00,2
2019-01-21 10:49:00,1
2019-01-21 10:57:00,2
2019-01-21 10:58:00,3
2019-01-21 11:15:00,5
2019-01-21 11:33:00,5
2019-01-22 10:13:00,1
2019-01-22 10:43:00,1
2019-01-22 11:10:00,1
2019-01-22 14:26:00,1
2019-01-22 16:54:00,1
2019-01-22 16:59:00,1
2019-01-22 17:02:00,2
2019-01-22 17:04:00,1
2019-01-22 17:06:00,1
2019-01-22 17:07:00,1
2019-01-22 17:08:00,1
2019-01-22 17:09:00,1
2019-01-22 17:10:00,1
2019-01-22 17:11:00,1
2019-01-22 17:12:00,1
2019-01-22 17:14:00,1
2019-01-22 17:15:00,1
2019-01-22 17:17:00,1
2019-01-22 17:19:00,1
2019-01-22 17:21:00,1
2019-01-22 17:23:00,1
2019-01-22 17:24:00,1
2019-01-22 17:25:00,1
2019-01-22 17:27:00,1
2019-01-22 17:28:00,1
2019-01-22 17:31:00,1
2019-01-22 17:32:00,1
2019-01-22 17:39:00,1
2019-01-22 17:40:00,1
2019-01-22 17:42:00,1
2019-01-22 17:43:00,1
2019-01-22 17:45:00,1
2019-01-22 17:51:00,1
2019-01-22 17:52:00,1
2019-01-22 17:59:00,1
2019-01-22 18:08:00,1
2019-01-22 20:06:00,1
2019-01-22 20:11:00,1
2019-01-22 20:13:00,1
2019-01-22 20:17:00,1
2019-01-22 20:21:00,1
2019-01-22 20:22:00,1
2019-01-22 20:24:00,1
2019-01-22 20:32:00,1
2019-01-23 08:30:00,1
2019-01-23 14:54:00,1
2019-01-24 03:16:00,1
2019-01-24 03:25:00,1
2019-01-24 04:51:00,1
2019-01-24 06:06:00,1
2019-01-25 02:33:00,1
2019-01-25 02:51:00,1
2019-01-25 06:27:00,1
2019-01-25 06:39:00,1
2019-01-27 03:28:00,1
2019-01-27 04:43:00,1
2019-01-27 06:58:00,1
2019-01-27 08:24:00,1
2019-01-28 02:23:00,1
2019-01-29 06:26:00,1
2019-01-29 06:49:00,1
2019-01-29 07:09:00,1
2019-01-29 11:45:00,1
2019-01-29 11:46:00,1
2019-01-30 08:01:00,1
2019-01-30 11:13:00,1
2019-01-30 11:19:00,1
2019-01-30 12:12:00,1
2019-01-30 12:29:00,1
2019-01-30 12:47:00,1
2019-02-02 04:14:00,1
2019-02-02 04:20:00,1
2019-02-02 04:30:00,1
2019-02-02 04:36:00,1
2019-02-02 04:55:00,1
2019-02-02 05:50:00,1
2019-02-02 06:48:00,1
2019-02-02 08:30:00,1
2019-02-02 09:30:00,1
2019-02-03 02:18:00,1
2019-02-03 02:37:00,1
2019-02-03 02:56:00,1
