36,select z
2019-01-08 15:40:00,1
2019-02-13 16:18:00,2
2019-02-13 16:19:00,1
2019-02-13 16:36:00,3
2019-03-03 21:14:00,1
2019-03-13 20:58:00,2
2019-03-23 17:29:00,2
2019-03-23 17:30:00,1
2019-03-23 17:32:00,2
2019-03-23 17:33:00,1
2019-03-23 17:34:00,2
2019-03-23 17:53:00,1
2019-04-01 12:28:00,1
2019-04-10 00:44:00,1
2019-04-10 00:45:00,1
2019-04-17 01:47:00,1
2019-04-17 01:50:00,1
2019-04-17 02:01:00,1
2019-06-14 17:45:00,2
2019-06-14 18:14:00,1
2019-06-19 14:05:00,2
2019-06-20 15:06:00,1
2019-06-30 09:07:00,1
2019-06-30 09:08:00,1
2019-09-04 16:43:00,1
2019-09-20 03:37:00,1
2019-09-20 03:41:00,1
