21,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM BESTDR7..SpecObj as s JOIN BESTDR7..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = p.objID WHERE (s.specClass = dbo.fSpecClass (#) ) AND (p.type = # OR p.type = #)"
2019-01-24 06:21:00,1
2019-01-24 06:24:00,2
2019-01-24 06:33:00,1
2019-01-27 19:23:00,1
2019-01-28 04:19:00,1
2019-01-28 04:21:00,1
2019-01-28 04:22:00,1
2019-01-28 04:23:00,1
2019-01-28 04:27:00,1
2019-01-28 04:35:00,1
2019-01-28 04:37:00,3
2019-01-28 04:39:00,2
2019-02-01 10:44:00,1
2019-08-09 19:59:00,1
2019-08-09 20:00:00,1
2019-09-01 23:21:00,1
2019-09-30 12:52:00,1
