4,SELECT DISTINCT p.status FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )
2019-06-07 14:11:00,1
2019-06-07 15:10:00,2
2019-06-07 16:03:00,1
