168,"SELECT p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, s.elodieTEff, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err, p.b AS b, p.l as l FROM photoObj p JOIN segue1SpecObjAll s ON s.bestObjID = p.objid WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > # AND p.b BETWEEN # AND #"
2019-09-12 13:41:00,1
2019-09-16 09:46:00,1
2019-09-16 09:47:00,1
2019-09-16 09:49:00,1
2019-09-16 09:52:00,1
2019-09-16 09:53:00,1
2019-09-19 10:25:00,1
2019-09-19 10:27:00,3
2019-09-19 10:29:00,1
2019-09-19 10:30:00,1
2019-09-19 10:32:00,2
2019-09-19 10:38:00,1
2019-09-19 10:40:00,1
2019-09-19 10:43:00,1
2019-09-19 10:45:00,1
2019-09-19 10:46:00,1
2019-09-19 10:47:00,1
2019-09-19 10:49:00,1
2019-09-19 10:56:00,1
2019-09-19 10:58:00,1
2019-09-19 10:59:00,1
2019-09-19 11:01:00,1
2019-09-19 11:02:00,1
2019-09-22 16:11:00,1
2019-09-22 16:13:00,1
2019-09-22 17:30:00,1
2019-09-26 11:03:00,1
2019-09-26 11:04:00,1
2019-09-26 11:09:00,2
2019-09-26 11:10:00,1
2019-09-26 11:11:00,1
2019-09-26 11:12:00,1
2019-09-26 11:13:00,1
2019-09-26 11:14:00,1
2019-09-26 11:16:00,2
2019-09-26 11:18:00,2
2019-09-26 11:19:00,1
2019-09-26 11:20:00,1
2019-09-26 11:21:00,1
2019-09-26 11:22:00,2
2019-10-03 11:43:00,1
2019-10-03 11:45:00,5
2019-10-03 11:46:00,10
2019-10-03 11:56:00,1
2019-10-03 11:59:00,1
2019-10-03 12:01:00,1
2019-10-03 12:03:00,1
2019-10-03 12:04:00,2
2019-10-03 12:05:00,1
2019-10-03 12:06:00,1
2019-10-03 12:07:00,1
2019-10-03 12:08:00,1
2019-10-03 12:09:00,1
2019-10-03 12:10:00,1
2019-10-03 12:21:00,1
2019-10-09 19:01:00,2
2019-10-09 19:05:00,1
2019-10-09 19:07:00,2
2019-10-09 19:09:00,1
2019-10-09 19:11:00,2
2019-10-09 19:12:00,1
2019-10-09 19:13:00,1
2019-10-09 19:14:00,1
2019-10-09 19:15:00,1
2019-10-09 19:44:00,1
2019-10-09 19:46:00,1
2019-10-09 19:47:00,1
2019-10-09 19:50:00,1
2019-10-17 12:10:00,6
2019-10-17 12:12:00,1
2019-10-17 12:24:00,1
2019-10-17 12:25:00,1
2019-10-17 12:30:00,1
2019-10-17 12:34:00,1
2019-10-17 12:43:00,1
2019-10-17 12:47:00,1
2019-10-23 14:42:00,6
2019-10-23 14:43:00,17
2019-10-23 14:44:00,23
2019-10-23 14:45:00,13
2019-10-23 14:54:00,1
2019-10-23 14:55:00,1
2019-10-23 14:57:00,1
2019-10-23 15:00:00,1
