513,"SELECT TOP # run, camCol, rerun, field, objID, ra, dec FROM Galaxy WHERE ( (flags & (dbo.fPhotoFlags (#) | dbo.fPhotoFlags (#) | dbo.fPhotoFlags (#) )) > # and (flags & (dbo.fPhotoFlags (#) | dbo.fPhotoFlags (#) | dbo.fPhotoFlags (#) )) ! = dbo.fPhotoFlags (#) and (flags & (dbo.fPhotoFlags (#) | dbo.fPhotoFlags (#) )) = # and petroMag_i > # and (petroMag_r > # or petroR5#_r > #) and (petroMag_r > # and g > # and r > # and i > #) and ( (petroMag_r-extinction_r) < # and (petroMag_r - extinction_r < (# + (#/#) * (dered_g - dered_r) + # * (dered_r - dered_i) - # * #) ) and ( (dered_r - dered_i - (dered_g - dered_r) /# - #) < #) and ( (dered_r - dered_i - (dered_g - dered_r) /# - #) > #) and ( (petroMag_r - extinction_r + # * LOG1# (# * # * petroR5#_r * petroR5#_r) ) < #) ) or ( (petroMag_r - extinction_r < #) and ( (dered_r - dered_i - (dered_g - dered_r) /# - #) > (# - # * (dered_g - dered_r) )) and ( (dered_g - dered_r) > (# + # * (dered_r - dered_i) )) ) and ( (petroMag_r - extinction_r + # * LOG1# (# * # * petroR5#_r * petroR5#_r) ) < #) )"
2019-01-01 10:02:00,1
2019-01-02 01:54:00,1
2019-01-03 11:17:00,1
2019-01-03 17:49:00,1
2019-01-05 04:55:00,1
2019-01-05 09:18:00,1
2019-01-08 02:06:00,1
2019-01-08 04:28:00,1
2019-01-08 06:53:00,1
2019-01-08 17:30:00,1
2019-01-10 10:46:00,1
2019-01-10 22:46:00,1
2019-01-11 15:46:00,1
2019-01-13 13:38:00,1
2019-01-14 02:05:00,1
2019-01-17 22:56:00,1
2019-01-17 23:06:00,1
2019-01-19 04:39:00,1
2019-01-19 20:47:00,1
2019-01-22 15:27:00,1
2019-01-22 20:51:00,1
2019-01-24 13:46:00,1
2019-01-25 17:47:00,1
2019-01-26 22:33:00,1
2019-01-27 08:33:00,1
2019-01-27 16:27:00,1
2019-01-27 22:43:00,1
2019-01-28 10:35:00,1
2019-01-28 16:10:00,2
2019-01-29 03:48:00,1
2019-01-29 12:57:00,1
2019-01-31 00:45:00,1
2019-02-01 12:27:00,1
2019-02-01 23:36:00,1
2019-02-02 13:02:00,1
2019-02-02 15:43:00,1
2019-02-03 11:17:00,1
2019-02-07 07:15:00,1
2019-02-07 22:25:00,1
2019-02-08 05:18:00,1
2019-02-09 09:51:00,1
