1116,"SELECT TOP # sp.objID, sp.ra, sp.dec, sp.mjd, px.taiBegin, px.taiEnd, sp.fiberID, sp.z FROM specPhoto AS sp JOIN plateX AS px ON sp.plateID = px.plateID WHERE (sp.class = #) AND sp.z > #"
2019-01-01 08:55:00,1
2019-01-01 11:07:00,1
2019-01-01 15:26:00,1
2019-01-02 00:17:00,1
2019-01-02 00:46:00,1
2019-01-02 00:53:00,1
2019-01-03 11:07:00,1
2019-01-03 13:33:00,1
2019-01-03 14:50:00,1
2019-01-04 08:10:00,1
2019-01-04 14:23:00,1
2019-01-05 06:50:00,1
2019-01-05 08:16:00,1
2019-01-05 09:22:00,1
2019-01-05 11:34:00,1
2019-01-06 12:39:00,1
2019-01-07 00:08:00,1
2019-01-07 01:03:00,1
2019-01-07 23:29:00,1
2019-01-07 23:51:00,1
2019-01-08 03:00:00,1
2019-01-08 03:27:00,1
2019-01-08 05:23:00,1
2019-01-08 06:25:00,1
2019-01-08 07:26:00,1
2019-01-08 08:39:00,1
2019-01-08 10:33:00,1
2019-01-10 02:12:00,1
2019-01-10 13:30:00,1
2019-01-10 21:56:00,1
2019-01-11 04:40:00,1
2019-01-11 20:04:00,1
2019-01-12 03:07:00,1
2019-01-12 09:50:00,1
2019-01-13 08:29:00,1
2019-01-13 09:06:00,1
2019-01-14 11:11:00,1
2019-01-16 00:18:00,1
2019-01-17 04:25:00,1
2019-01-17 07:53:00,1
2019-01-17 23:58:00,1
2019-01-19 21:04:00,1
2019-01-20 18:20:00,1
2019-01-21 04:28:00,1
2019-01-22 08:12:00,1
2019-01-22 08:24:00,1
2019-01-23 23:25:00,1
2019-01-24 06:12:00,1
2019-01-24 10:43:00,1
2019-01-24 12:35:00,1
2019-01-25 11:10:00,1
2019-01-25 12:46:00,1
2019-01-25 15:55:00,1
2019-01-26 10:06:00,1
2019-01-26 10:31:00,1
2019-01-26 17:42:00,1
2019-01-26 19:53:00,1
2019-01-27 09:39:00,1
2019-01-27 16:18:00,1
2019-01-27 21:33:00,1
2019-01-28 01:19:00,1
2019-01-28 03:58:00,1
2019-01-28 09:49:00,1
2019-01-28 10:25:00,1
2019-01-28 13:02:00,1
2019-01-28 13:52:00,1
2019-01-29 00:40:00,1
2019-01-29 02:23:00,1
2019-01-29 03:40:00,1
2019-01-29 07:02:00,1
2019-01-30 00:26:00,1
2019-01-30 09:29:00,1
2019-01-30 11:43:00,1
2019-01-30 11:44:00,1
2019-01-30 13:14:00,1
2019-01-30 15:39:00,2
2019-01-30 21:03:00,1
2019-01-31 07:28:00,1
