164,"SELECT TOP # p.ra, p.dec, p.run, p.rerun, p.camCol, p.field, p.obj FROM BESTDR7..PhotoObj AS p JOIN #x AS x ON x.objID = p.objID JOIN #upload AS u ON u.up_id = x.up_id WHERE (p.type = # OR p.type = #) ORDER BY x.up_id"
2019-01-01 13:03:00,2
2019-01-01 13:07:00,2
2019-01-01 13:09:00,2
2019-01-01 13:14:00,3
2019-01-04 03:41:00,1
2019-01-04 08:31:00,1
2019-01-04 08:45:00,1
2019-01-07 11:54:00,1
2019-01-07 11:58:00,1
2019-01-07 12:31:00,1
2019-01-07 12:32:00,2
2019-01-07 12:33:00,2
2019-01-07 12:34:00,1
2019-01-07 12:39:00,1
2019-01-07 12:40:00,1
2019-01-11 18:31:00,1
2019-01-13 15:23:00,1
2019-01-18 00:53:00,1
2019-01-18 06:23:00,1
2019-01-19 00:23:00,1
2019-01-20 13:34:00,1
2019-01-20 13:36:00,2
2019-01-20 13:38:00,1
2019-01-23 09:02:00,2
2019-01-29 10:56:00,2
2019-01-29 10:58:00,1
2019-02-02 19:54:00,1
2019-02-05 08:52:00,1
2019-02-11 07:56:00,1
2019-02-11 07:58:00,1
2019-02-23 05:35:00,1
2019-02-24 05:18:00,1
2019-02-24 05:55:00,1
2019-03-18 06:03:00,2
2019-04-03 06:56:00,1
2019-04-04 18:32:00,1
2019-04-13 12:42:00,1
2019-04-15 09:42:00,1
2019-04-15 09:45:00,1
2019-04-22 07:03:00,1
2019-04-24 10:10:00,1
2019-05-02 14:11:00,2
2019-05-02 14:12:00,2
2019-05-03 09:40:00,1
2019-05-04 14:02:00,1
2019-05-04 14:13:00,1
2019-05-14 12:20:00,1
2019-05-24 07:39:00,2
2019-05-24 07:43:00,2
2019-05-24 07:55:00,2
2019-05-24 16:01:00,1
2019-06-04 00:37:00,1
2019-06-16 19:12:00,1
2019-06-19 09:53:00,1
2019-06-19 09:54:00,1
2019-06-21 19:09:00,1
2019-06-21 19:11:00,1
2019-06-24 21:14:00,1
2019-06-25 22:51:00,1
2019-07-02 14:44:00,1
2019-07-09 03:15:00,1
2019-07-09 03:18:00,2
2019-07-09 03:19:00,1
2019-07-09 03:24:00,1
2019-07-16 15:07:00,1
2019-07-16 15:10:00,1
2019-07-31 02:36:00,2
2019-07-31 11:14:00,1
2019-08-05 00:32:00,1
2019-08-05 00:41:00,1
2019-08-05 00:42:00,2
2019-08-09 22:25:00,1
2019-08-09 22:29:00,1
2019-08-09 22:30:00,1
2019-08-09 22:31:00,1
2019-08-09 22:32:00,1
2019-08-09 22:33:00,1
2019-08-09 22:56:00,1
2019-08-10 19:05:00,1
2019-08-10 19:09:00,1
2019-09-02 12:41:00,1
2019-09-02 12:42:00,1
2019-09-02 15:46:00,1
2019-09-02 16:16:00,1
2019-09-02 18:12:00,1
2019-09-02 18:26:00,1
2019-09-03 08:51:00,1
2019-09-08 07:12:00,1
2019-09-15 19:31:00,1
2019-09-21 17:07:00,1
2019-09-21 17:27:00,1
2019-09-23 18:11:00,1
2019-09-24 09:13:00,1
2019-09-24 12:19:00,1
2019-09-24 12:23:00,1
2019-09-24 12:43:00,1
2019-09-24 17:55:00,1
2019-09-25 07:29:00,1
2019-09-25 07:30:00,1
2019-09-25 07:31:00,1
2019-09-26 14:23:00,1
2019-09-27 10:18:00,1
2019-09-28 12:57:00,1
2019-10-02 10:35:00,1
2019-10-04 18:04:00,1
2019-10-04 18:39:00,1
2019-10-07 21:41:00,1
2019-10-07 21:44:00,1
2019-10-07 22:05:00,1
2019-10-07 22:06:00,1
2019-10-08 16:56:00,1
2019-10-22 21:46:00,1
2019-11-04 02:32:00,1
2019-11-04 11:49:00,1
2019-11-04 12:13:00,1
2019-11-04 13:26:00,1
2019-11-04 14:59:00,1
2019-11-04 15:28:00,1
2019-11-04 15:45:00,1
2019-11-04 20:01:00,1
2019-11-04 20:47:00,1
2019-11-05 15:23:00,1
2019-11-05 15:24:00,1
2019-11-06 01:25:00,1
2019-11-06 01:37:00,1
2019-11-12 21:00:00,1
2019-11-13 09:24:00,2
2019-11-13 09:28:00,1
2019-11-13 09:32:00,1
2019-11-13 10:26:00,1
2019-11-14 20:15:00,1
2019-11-17 07:10:00,1
2019-11-18 10:08:00,1
2019-11-18 19:09:00,1
2019-11-18 21:07:00,1
2019-11-19 04:02:00,1
2019-11-21 21:17:00,2
2019-11-21 21:19:00,1
2019-11-22 21:44:00,1
2019-11-23 14:28:00,1
2019-11-30 00:42:00,1
2019-11-30 00:43:00,1
2019-11-30 00:44:00,1
