4,"SELECT g.objid, g.ra, g.dec, g.petroMag_r, pz.z, pz.zErr, dbo.fPhotoTypeN (g.type) as type, n.distance FROM PhotoObj AS g JOIN PhotoZ AS pz ON g.objid = pz.objid, fGetNearbyObjEq (#, #, #) AS n WHERE g.objID = n.objID"
2019-08-22 21:45:00,3
2019-08-22 21:46:00,1
