24,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra between # and # and p.dec between # and #"
2019-09-26 00:34:00,1
2019-10-22 21:04:00,1
2019-10-23 18:15:00,2
2019-10-23 18:18:00,1
2019-10-23 18:30:00,2
2019-10-23 18:44:00,1
2019-10-23 18:46:00,2
2019-10-23 21:20:00,1
2019-11-01 00:42:00,1
2019-11-01 00:44:00,1
2019-11-01 01:00:00,1
2019-11-01 01:05:00,1
2019-11-01 01:06:00,1
2019-11-01 01:13:00,2
2019-11-01 01:14:00,1
2019-11-01 01:15:00,1
2019-11-01 01:16:00,3
2019-11-18 12:13:00,1
