12,"SELECT TOP # s.apogee_id, s.ra, s.dec, s.glon, s.glat, s.vhelio_avg, s.vscatter, params.*, paramerrs.*, elems.*, elemerrs.*, dbo.fApogeeAspcapFlagN (a.aspcapflag) , dbo.fApogeeStarFlagN (s.starflag) FROM apogeeStar s JOIN aspcapStar a on a.apstar_id = s.apstar_id CROSS APPLY dbo.fAspcapParams (a.aspcap_id) params CROSS APPLY dbo.fAspcapParamErrs (a.aspcap_id) paramerrs CROSS APPLY dbo.fAspcapElems (a.aspcap_id) elems CROSS APPLY dbo.fAspcapElemErrs (a.aspcap_id) elemerrs WHERE (a.aspcapflag & dbo.fApogeeAspcapFlag (#) ) = # and s.extratarg = #"
2019-03-24 19:46:00,1
2019-06-04 17:04:00,1
2019-07-18 20:06:00,1
2019-07-18 20:09:00,1
2019-09-03 20:22:00,1
2019-09-03 20:23:00,1
2019-09-03 20:24:00,2
2019-09-03 20:25:00,1
2019-10-08 07:36:00,1
2019-12-10 01:08:00,1
2019-12-16 12:43:00,1
