25,"SELECT s.plate, s.fiberid, s.mjd, ga.Flux_OIII_#, ga.Flux_OIII_#_err, (sph.dered_g-sph.dered_r) as col_g_r, sph.dered_g-#*log1# (#E+#*sph.z) +# as M_g, sph.petroMag_g, g.petroRad_g FROM emissionlinesport as ga, specobj as s, Galaxy as g, SpecPhoto as sph WHERE ga.Flux_OIII_# > #*ga.Flux_OIII_#_Err AND ga.Flux_OIII_# < #*ga.Flux_OIII_#_Err AND s.class = # AND s.specobjid = ga.specobjid AND s.specobjid = g.specobjid AND sph.specobjid = g.specobjid AND sph.specobjid = ga.specobjid AND ga.Flux_OIII_#_err > # AND g.specobjid > # AND sph.z > # into MyDB.t5__p"
2019-07-22 07:29:00,1
2019-07-22 07:35:00,2
2019-07-22 07:36:00,1
2019-07-22 07:49:00,1
2019-07-22 08:14:00,1
2019-07-22 08:16:00,1
2019-07-22 08:30:00,2
2019-07-22 08:41:00,1
2019-07-22 09:44:00,1
2019-07-22 11:55:00,3
2019-07-22 12:13:00,1
2019-07-22 12:26:00,1
2019-07-22 12:32:00,1
2019-07-23 02:58:00,1
2019-07-24 05:19:00,1
2019-07-24 05:20:00,2
2019-07-24 05:21:00,3
2019-07-24 08:07:00,1
