2,"SELECT u, g, r, i, z, ra, dec into mydb.SDSS_dr1#Photo FROM dr1#.PhotoObjAll WHERE ra > # and ra < # and dec > # and dec < #"
2019-04-12 13:12:00,1
2019-04-12 13:13:00,1
