41,"INSERT INTO #upload values (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #e+#, #e+#) , (#, #, #"
2019-05-19 13:19:00,1
2019-05-19 13:33:00,2
2019-05-20 11:42:00,1
2019-05-20 11:49:00,1
2019-05-20 13:21:00,1
2019-05-20 13:22:00,1
2019-05-20 13:23:00,1
2019-05-20 13:24:00,1
2019-05-21 08:02:00,1
2019-05-21 08:05:00,1
2019-05-21 08:06:00,1
2019-05-23 10:57:00,1
2019-05-23 10:58:00,1
2019-05-23 10:59:00,1
2019-05-23 11:04:00,2
2019-05-23 11:05:00,2
2019-05-23 12:17:00,1
2019-05-23 12:18:00,2
2019-05-23 12:19:00,1
2019-06-06 02:55:00,1
2019-06-06 02:56:00,2
2019-06-06 02:57:00,1
2019-06-06 03:00:00,1
2019-06-06 03:02:00,2
2019-06-06 03:03:00,1
2019-06-06 03:32:00,1
2019-06-06 03:34:00,1
2019-10-18 11:56:00,1
2019-10-18 12:05:00,1
2019-10-18 12:06:00,1
2019-10-18 12:07:00,1
2019-10-18 12:08:00,1
2019-10-18 12:12:00,1
2019-10-18 12:23:00,1
2019-10-18 12:24:00,1
