2006,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid = s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-03-26 22:39:00,1
2019-03-26 22:45:00,1
2019-03-26 23:26:00,1
2019-03-26 23:30:00,1
2019-03-26 23:35:00,1
2019-03-26 23:41:00,1
2019-03-26 23:45:00,1
2019-03-26 23:53:00,1
2019-03-27 00:00:00,1
2019-03-27 00:03:00,1
2019-03-27 00:10:00,1
2019-03-27 00:19:00,1
2019-03-27 00:27:00,1
2019-03-27 00:33:00,1
2019-03-27 01:00:00,1
2019-03-27 01:06:00,1
2019-03-27 01:53:00,1
2019-03-27 02:03:00,1
2019-03-27 02:09:00,1
2019-03-27 02:14:00,1
2019-03-27 02:19:00,1
2019-03-27 02:23:00,1
2019-03-27 02:28:00,1
2019-03-27 02:32:00,1
2019-03-27 02:37:00,1
2019-03-27 02:44:00,1
2019-03-27 02:47:00,1
2019-03-27 02:53:00,1
2019-03-27 03:02:00,1
2019-03-27 03:04:00,1
2019-03-27 03:09:00,1
2019-03-27 03:13:00,1
2019-03-27 03:16:00,1
2019-03-27 03:19:00,1
2019-03-27 03:21:00,1
2019-03-27 03:25:00,1
2019-03-27 03:28:00,1
2019-03-27 03:29:00,1
2019-03-27 03:40:00,1
2019-03-27 03:45:00,1
2019-03-27 04:11:00,1
2019-03-27 04:53:00,1
2019-03-27 05:01:00,1
2019-03-27 05:05:00,1
2019-03-27 05:12:00,1
2019-03-27 05:17:00,1
2019-03-27 05:22:00,1
2019-03-27 05:30:00,1
2019-03-27 05:35:00,1
2019-03-27 05:37:00,1
2019-03-27 05:43:00,1
2019-03-27 05:48:00,1
2019-03-27 05:53:00,1
2019-03-27 05:56:00,1
2019-03-27 05:59:00,1
2019-03-27 06:02:00,1
2019-03-27 06:05:00,1
2019-03-27 06:12:00,1
2019-03-27 14:32:00,1
2019-03-27 15:08:00,1
2019-03-27 17:45:00,1
2019-03-27 20:08:00,1
2019-03-27 23:52:00,1
2019-03-28 00:22:00,1
2019-03-28 00:23:00,1
2019-03-28 00:26:00,1
2019-03-28 20:37:00,1
2019-03-28 20:39:00,1
2019-03-28 20:40:00,1
2019-03-28 22:23:00,1
2019-03-28 22:38:00,1
2019-03-28 23:53:00,1
2019-03-28 23:56:00,1
2019-03-28 23:57:00,1
2019-03-29 00:11:00,1
2019-03-29 00:14:00,1
2019-03-29 00:37:00,1
2019-03-29 00:39:00,1
2019-03-29 00:44:00,1
2019-03-29 00:59:00,1
2019-03-29 01:09:00,1
2019-03-29 01:12:00,1
2019-03-29 01:18:00,1
2019-03-29 01:32:00,1
2019-03-29 01:37:00,1
2019-03-29 01:38:00,1
2019-03-29 01:45:00,1
2019-03-29 01:48:00,1
2019-03-29 01:54:00,1
2019-03-29 02:03:00,1
