34,"SELECT TOP # cast (str (s.ra, #, #) as float) as ra, cast (str (s.[dec], #, #) as float) as dec, s.z, s.zErr, p.dered_g, p.dered_i, p.dered_r, p.dered_u, p.dered_z, p.petroMagErr_g, p.petroMagErr_i, p.petroMagErr_r, p.petroMagErr_u, p.petroMagErr_z FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON s.bestobjid = b.objID WHERE s.zWarning = # AND (p.type = # OR p.type = #)"
2019-09-30 09:26:00,1
2019-09-30 09:41:00,1
2019-09-30 09:43:00,1
2019-09-30 09:44:00,1
2019-09-30 09:45:00,1
2019-09-30 09:47:00,2
2019-09-30 09:48:00,1
2019-09-30 09:49:00,1
2019-09-30 09:50:00,1
2019-09-30 09:51:00,1
2019-09-30 09:52:00,1
2019-09-30 09:53:00,1
2019-09-30 09:54:00,1
2019-09-30 09:56:00,2
2019-09-30 09:57:00,1
2019-09-30 13:33:00,1
2019-09-30 13:35:00,1
2019-09-30 13:36:00,1
2019-09-30 13:38:00,2
2019-09-30 13:39:00,1
2019-09-30 13:40:00,1
2019-09-30 13:41:00,1
2019-09-30 13:42:00,2
2019-09-30 13:43:00,1
2019-09-30 13:44:00,2
2019-09-30 13:45:00,2
2019-09-30 13:46:00,2
