42,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.g < #"
2019-10-24 15:08:00,1
2019-10-24 15:09:00,3
2019-10-24 15:20:00,4
2019-10-24 15:22:00,17
2019-10-24 15:23:00,16
2019-10-24 15:24:00,1
