2,"SELECT TOP # s.z as redshift, p.modelflux_u FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND s.z BETWEEN .# AND .# AND s.class = #"
2019-07-28 10:07:00,1
2019-07-28 10:08:00,1
