38,"SELECT u, g, r, i, z FROM Galaxy WHERE htmid*# & # < (# * #)"
2019-02-24 05:42:00,1
2019-02-24 05:44:00,1
2019-04-10 10:16:00,1
2019-04-21 17:22:00,1
2019-04-24 16:18:00,1
2019-04-24 16:22:00,1
2019-04-29 03:37:00,1
2019-04-29 03:39:00,2
2019-04-29 03:40:00,1
2019-04-29 03:46:00,1
2019-04-29 03:47:00,2
2019-05-01 13:34:00,1
2019-05-02 22:21:00,1
2019-05-14 18:25:00,1
2019-05-18 11:09:00,1
2019-05-18 12:17:00,1
2019-05-18 12:42:00,1
2019-05-28 13:57:00,1
2019-09-03 17:37:00,1
2019-10-03 14:45:00,1
2019-10-03 14:49:00,1
2019-10-04 09:30:00,1
2019-10-21 14:01:00,1
2019-10-21 14:51:00,1
2019-10-26 17:57:00,1
2019-10-27 15:52:00,1
2019-11-03 00:19:00,1
2019-11-03 00:20:00,2
2019-11-03 00:23:00,1
2019-11-06 20:29:00,1
2019-11-06 20:30:00,3
2019-11-28 18:31:00,1
2019-11-28 18:34:00,1
