2,"SELECT TOP # p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.g, p.r, extinction_g, extinction_r FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID"
2019-05-14 14:54:00,1
2019-05-14 14:55:00,1
