2,"SELECT s.apogee_id, a.m_h, a.alpha_m, dbo.fApogeeAspcapFlagN (a.aspxcapflag) , dbo.fApogeeStarFlagN (s.starflag) FROM apogeeStar s JOIN aspcapStar a on a.apstar_id = s.apstar_id WHERE (a.aspxcapflag & dbo.fApogeeAspcapFlag (#) ) = #"
2019-09-11 20:48:00,1
2019-09-11 21:10:00,1
