23,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, p.type FROM PhotoObj As p WHERE p.ra > # AND p.ra < = # AND p.dec > # AND p.dec < = # AND p.type = #"
2019-10-22 13:12:00,1
2019-10-22 13:21:00,1
2019-10-22 17:25:00,1
2019-10-25 06:26:00,1
2019-10-25 06:33:00,1
2019-10-25 06:34:00,1
2019-10-25 06:37:00,1
2019-10-25 06:42:00,1
2019-10-25 06:44:00,1
2019-10-25 06:45:00,1
2019-10-25 06:46:00,1
2019-10-25 06:49:00,1
2019-10-25 07:07:00,1
2019-10-25 07:21:00,1
2019-10-25 07:29:00,1
2019-10-25 07:41:00,1
2019-10-25 07:46:00,1
2019-10-25 07:48:00,1
2019-10-25 07:50:00,1
2019-10-25 08:44:00,1
2019-10-25 09:59:00,1
2019-10-25 10:11:00,1
2019-10-25 10:13:00,1
