955,SELECT TOP # specObjID
2019-03-17 21:54:00,1
2019-03-18 10:57:00,1
2019-03-19 14:48:00,2
2019-03-19 18:31:00,1
2019-03-20 13:54:00,1
2019-03-20 23:01:00,1
2019-03-21 01:57:00,1
2019-03-21 06:34:00,1
2019-03-21 15:30:00,1
2019-03-21 16:43:00,1
2019-03-23 21:41:00,1
2019-03-23 23:30:00,1
2019-03-24 08:03:00,1
2019-03-25 02:14:00,1
2019-03-25 05:03:00,1
2019-03-25 05:55:00,1
2019-03-25 10:13:00,1
2019-03-25 11:05:00,1
2019-03-25 21:50:00,1
2019-03-26 00:01:00,1
2019-03-26 09:51:00,1
2019-03-26 10:55:00,1
2019-03-26 12:42:00,1
2019-03-26 19:55:00,1
2019-03-26 20:30:00,1
2019-03-26 20:58:00,1
2019-03-26 21:16:00,1
2019-03-26 21:17:00,1
2019-03-27 14:05:00,1
2019-03-27 17:08:00,1
2019-03-27 19:28:00,1
2019-03-27 22:09:00,1
2019-03-28 10:02:00,1
2019-03-28 16:16:00,1
2019-03-28 18:38:00,1
2019-03-28 19:59:00,1
2019-03-28 23:04:00,1
2019-03-28 23:46:00,1
2019-03-29 23:55:00,1
2019-03-30 07:58:00,1
2019-03-30 09:52:00,1
2019-03-30 23:14:00,1
2019-03-31 13:39:00,1
2019-03-31 20:54:00,1
2019-04-01 03:41:00,1
2019-04-01 06:24:00,1
2019-04-01 10:48:00,1
2019-04-01 15:37:00,1
2019-04-01 18:26:00,1
2019-04-01 20:09:00,1
2019-04-01 20:25:00,1
2019-04-01 21:49:00,1
2019-04-01 22:19:00,1
2019-04-02 10:49:00,1
2019-04-03 15:22:00,1
2019-04-03 15:40:00,1
2019-04-04 04:11:00,1
2019-04-04 13:36:00,1
2019-04-05 17:27:00,1
2019-04-05 18:51:00,1
2019-04-05 21:22:00,1
2019-04-05 23:08:00,1
2019-04-06 04:24:00,1
2019-04-06 14:48:00,1
2019-04-06 20:10:00,1
2019-04-06 22:34:00,1
2019-04-06 23:47:00,1
2019-04-07 14:49:00,1
2019-04-07 16:48:00,1
2019-04-08 14:03:00,1
2019-04-08 15:38:00,1
2019-04-08 18:50:00,1
2019-04-08 20:30:00,1
2019-04-09 12:28:00,1
2019-04-09 21:17:00,1
2019-04-09 21:21:00,1
2019-04-09 21:23:00,1
2019-04-10 00:37:00,1
2019-04-10 02:11:00,2
2019-04-10 23:37:00,1
2019-04-11 00:29:00,1
2019-04-12 16:38:00,1
2019-04-13 14:49:00,1
2019-04-14 12:45:00,1
2019-04-14 13:49:00,1
2019-04-15 13:10:00,1
2019-04-15 22:49:00,1
2019-04-16 06:57:00,1
2019-04-16 07:43:00,1
2019-04-16 18:45:00,1
2019-04-18 05:51:00,1
2019-04-18 09:49:00,1
2019-04-18 10:01:00,1
2019-04-18 14:53:00,1
2019-04-18 21:56:00,1
2019-04-18 22:07:00,1
2019-04-19 00:37:00,1
2019-04-19 01:42:00,1
2019-04-19 10:03:00,1
2019-04-19 19:07:00,1
2019-04-20 20:35:00,1
2019-04-22 10:17:00,1
2019-04-22 14:37:00,1
2019-04-22 23:23:00,1
2019-04-24 00:35:00,1
2019-04-25 12:44:00,1
2019-04-26 23:48:00,1
2019-04-27 07:34:00,1
2019-04-28 03:35:00,1
2019-04-28 08:51:00,1
2019-04-28 13:22:00,1
2019-04-28 15:10:00,1
2019-04-29 01:18:00,1
2019-04-29 07:04:00,1
2019-04-30 03:59:00,1
2019-04-30 07:33:00,1
2019-04-30 10:44:00,1
2019-04-30 17:14:00,1
2019-05-01 15:04:00,1
2019-05-01 17:33:00,1
2019-05-02 04:18:00,1
2019-05-02 11:20:00,1
2019-05-02 15:53:00,1
2019-05-02 19:47:00,1
2019-05-02 21:09:00,1
2019-05-03 04:43:00,1
2019-05-03 14:48:00,1
2019-05-03 17:27:00,1
2019-05-04 00:14:00,1
2019-05-04 11:56:00,1
2019-05-06 07:07:00,1
2019-05-06 08:47:00,1
2019-05-06 09:50:00,1
2019-05-06 15:43:00,1
2019-05-07 10:27:00,1
2019-05-07 12:19:00,1
2019-05-08 21:38:00,1
2019-05-10 01:32:00,1
2019-05-10 16:25:00,1
2019-05-11 05:57:00,1
2019-05-11 07:40:00,1
2019-05-11 14:03:00,1
2019-05-11 22:06:00,1
2019-05-12 15:01:00,1
2019-05-13 03:25:00,1
2019-05-13 08:48:00,1
2019-05-13 17:53:00,1
2019-05-13 23:16:00,1
2019-05-14 08:22:00,1
2019-05-14 15:36:00,1
2019-05-14 20:21:00,1
2019-05-15 23:07:00,1
2019-05-15 23:58:00,1
2019-05-16 00:43:00,1
2019-05-17 04:33:00,1
2019-05-17 04:48:00,1
2019-05-17 05:04:00,1
2019-05-18 20:35:00,1
2019-05-18 21:24:00,1
2019-05-18 22:02:00,1
2019-05-19 11:03:00,1
2019-05-20 17:20:00,1
2019-05-20 19:25:00,1
2019-05-21 03:24:00,1
2019-05-21 03:28:00,1
2019-05-21 09:35:00,1
2019-05-21 11:03:00,1
2019-05-22 11:15:00,1
2019-05-22 21:05:00,1
2019-05-23 04:24:00,1
2019-05-23 07:15:00,1
2019-05-23 10:01:00,1
2019-05-23 12:24:00,1
2019-05-23 13:34:00,1
2019-05-23 17:04:00,1
2019-05-24 02:15:00,1
2019-05-24 08:57:00,1
2019-05-24 13:32:00,1
2019-05-24 17:39:00,1
2019-05-24 19:55:00,1
2019-05-24 20:45:00,1
2019-05-24 21:12:00,1
2019-05-24 23:59:00,1
2019-05-25 03:19:00,1
2019-05-25 19:38:00,1
2019-05-27 02:35:00,1
2019-05-27 12:27:00,1
2019-05-28 21:25:00,1
2019-05-29 03:04:00,1
2019-05-29 04:43:00,1
2019-05-29 09:12:00,1
2019-05-29 09:13:00,1
2019-05-29 12:49:00,1
2019-05-30 03:33:00,1
2019-05-30 16:05:00,1
2019-05-30 19:24:00,1
2019-05-30 22:00:00,1
2019-05-31 02:04:00,1
2019-05-31 16:39:00,1
2019-05-31 22:03:00,1
2019-06-01 02:23:00,1
2019-06-02 03:13:00,1
2019-06-04 06:33:00,1
2019-06-04 09:03:00,1
2019-06-04 13:20:00,1
2019-06-05 18:33:00,1
2019-06-06 07:26:00,1
2019-06-07 15:09:00,1
2019-06-08 02:43:00,1
2019-06-10 18:16:00,1
2019-06-10 21:05:00,1
2019-06-10 21:22:00,1
2019-06-11 00:48:00,1
2019-06-11 01:54:00,1
2019-06-11 02:06:00,1
2019-06-11 08:03:00,1
2019-06-11 15:50:00,1
2019-06-12 03:50:00,1
2019-06-12 16:45:00,1
2019-06-14 06:46:00,1
2019-06-14 23:11:00,1
2019-06-15 01:12:00,1
2019-06-15 09:28:00,1
2019-06-15 11:39:00,1
2019-06-16 02:28:00,1
2019-06-16 17:43:00,1
2019-06-17 07:18:00,1
2019-06-17 08:04:00,1
2019-06-17 09:53:00,1
2019-06-17 17:49:00,1
2019-06-18 10:10:00,1
2019-06-18 11:52:00,1
2019-06-18 13:15:00,1
2019-06-18 14:49:00,1
2019-06-19 13:18:00,1
2019-06-20 00:11:00,1
2019-06-20 03:56:00,1
2019-06-20 16:42:00,1
2019-06-21 00:53:00,1
2019-06-21 06:46:00,1
2019-06-21 23:41:00,1
2019-06-21 23:48:00,1
2019-06-22 14:11:00,1
2019-06-23 15:50:00,1
