899,"SELECT TOP # emline.fiberid as fiberID, emline.ra, emline.dec, emline.z as z_noqso, emline.zerr as z_noqso_err, emline.sigmaStars as emline_vdisp, emline.sigmaStarsErr as emline_vdisp_err, pca.vdisp_median as pca_vdisp, pca.vdisp_err as pca_vdisp_err, sp.veldisp as sp_vdisp, sp.veldisperr as sp_vdisp_err FROM emissionLinesPort AS emline JOIN stellarMassPCAWisc AS pca ON emline.specobjid = pca.specobjid JOIN specObj as sp ON emline.specobjid = sp.specobjid WHERE emline.plate = # AND emline.mjd = # AND pca.warning = #"
2019-01-01 10:04:00,1
2019-01-01 11:08:00,1
2019-01-02 00:18:00,1
2019-01-02 00:47:00,1
2019-01-02 01:55:00,1
2019-01-02 12:03:00,1
2019-01-03 11:17:00,1
2019-01-03 17:49:00,1
2019-01-04 00:54:00,1
2019-01-04 07:34:00,1
2019-01-05 09:20:00,1
2019-01-05 12:32:00,1
2019-01-05 18:16:00,1
2019-01-06 12:40:00,1
2019-01-07 00:09:00,1
2019-01-07 23:30:00,1
2019-01-08 02:07:00,1
2019-01-08 03:28:00,1
2019-01-08 03:45:00,1
2019-01-08 04:30:00,1
2019-01-08 06:26:00,1
2019-01-08 06:54:00,1
2019-01-08 07:27:00,1
2019-01-08 08:40:00,1
2019-01-08 08:46:00,1
2019-01-08 17:31:00,1
2019-01-10 02:39:00,1
2019-01-10 22:46:00,1
2019-01-11 00:17:00,1
2019-01-11 04:42:00,1
2019-01-12 03:12:00,1
2019-01-13 08:30:00,1
2019-01-13 09:08:00,1
2019-01-14 02:06:00,1
2019-01-14 11:45:00,1
2019-01-16 02:11:00,1
2019-01-16 04:10:00,1
2019-01-16 04:11:00,1
2019-01-19 02:26:00,1
2019-01-19 08:43:00,1
2019-01-19 08:45:00,1
2019-01-22 08:26:00,1
2019-01-22 09:04:00,1
2019-01-22 15:28:00,1
2019-01-22 20:44:00,1
2019-01-23 23:26:00,1
2019-01-24 13:48:00,1
2019-01-25 15:57:00,1
2019-01-25 17:47:00,1
2019-01-26 06:59:00,1
2019-01-26 13:32:00,1
2019-01-26 14:23:00,1
2019-01-26 22:35:00,1
2019-01-27 16:28:00,1
2019-01-27 22:45:00,1
2019-01-28 16:10:00,1
2019-01-28 16:12:00,1
2019-01-29 03:49:00,1
2019-01-30 03:48:00,1
2019-01-30 04:55:00,1
2019-01-30 09:29:00,1
2019-01-30 18:39:00,2
2019-01-31 00:46:00,1
2019-02-01 12:27:00,1
2019-02-01 23:38:00,1
2019-02-02 13:04:00,1
2019-02-02 15:45:00,1
2019-02-04 13:39:00,1
2019-02-04 14:11:00,1
2019-02-04 14:40:00,1
2019-02-06 12:55:00,1
2019-02-07 01:31:00,1
2019-02-07 03:58:00,1
2019-02-08 01:31:00,1
2019-02-08 05:19:00,1
2019-02-08 18:11:00,1
2019-02-08 22:16:00,1
2019-02-09 00:24:00,1
2019-02-09 08:59:00,1
2019-02-09 11:33:00,1
2019-02-09 17:33:00,1
2019-02-09 21:04:00,1
2019-02-10 01:02:00,1
2019-02-10 05:52:00,1
