3,"SELECT TOP # p.objid, p.ra, p.dec, p.g, p.Err_g, p.r, p.Err_r, p.i, p.Err_i, p.z, p.Err_z, s.specobjid , s.z AS zs, s.class, s.zErr from WISE_xmatch AS xm JOIN photoObjAll AS p ON xm.sdss_objid = p.objid JOIN WISE_allsky AS w ON xm.wise_cntr = w.cntr JOIN SpecObjAll AS s ON s.bestobjid = p.objid where s.z > # AND s.z < # AND s.z ! = # AND p.g> # AND p.r> # AND p.i > # AND p.z > # AND p.g< # AND p.r< # AND p.i < # AND p.z < # AND p.Err_g ! = # AND p.Err_r ! = # AND p.Err_i ! = # AND p.Err_z ! = # AND p.Err_g ! = # AND p.Err_r ! = # AND p.Err_i ! = # AND p.Err_z ! = # AND p.Err_g < # AND p.Err_r < # AND p.Err_i < # AND p.Err_z < #"
2019-10-22 12:32:00,1
2019-10-22 13:45:00,1
2019-10-22 13:46:00,1
