39,"SELECT TOP # cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z FROM ..Star AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID"
2019-11-03 13:08:00,1
2019-11-03 13:19:00,1
2019-11-03 13:27:00,1
2019-11-05 06:00:00,1
2019-11-05 06:02:00,2
2019-11-05 06:03:00,1
2019-11-05 06:04:00,2
2019-11-05 06:05:00,1
2019-11-05 06:11:00,1
2019-11-05 06:12:00,2
2019-11-05 06:13:00,1
2019-11-05 06:14:00,2
2019-11-05 06:15:00,2
2019-11-05 06:16:00,1
2019-11-05 06:17:00,3
2019-11-05 06:18:00,1
2019-11-05 06:19:00,3
2019-11-05 06:20:00,2
2019-11-05 06:21:00,2
2019-11-05 06:22:00,2
2019-11-05 06:23:00,2
2019-11-05 06:24:00,2
2019-11-05 06:25:00,2
2019-11-05 06:26:00,1
