939,"SELECT TOP # t.thingid, t.ndetect, d.objid, p.psfMag_r, p.psfMagerr_r FROM thingIndex AS t JOIN detectionindex AS d ON t.thingid = d.thingid JOIN Star AS p ON d.objid = p.objid WHERE t.ndetect > #"
2019-01-01 10:04:00,1
2019-01-01 11:08:00,1
2019-01-02 00:19:00,1
2019-01-02 00:48:00,1
2019-01-02 01:55:00,1
2019-01-03 11:17:00,1
2019-01-03 17:49:00,1
2019-01-05 09:02:00,1
2019-01-05 09:20:00,1
2019-01-05 18:14:00,1
2019-01-06 12:41:00,1
2019-01-07 00:10:00,1
2019-01-07 23:32:00,1
2019-01-08 02:07:00,1
2019-01-08 03:29:00,1
2019-01-08 04:30:00,1
2019-01-08 06:27:00,1
2019-01-08 06:54:00,1
2019-01-08 07:28:00,1
2019-01-08 08:41:00,1
2019-01-08 17:31:00,1
2019-01-10 02:39:00,1
2019-01-10 03:13:00,1
2019-01-10 04:36:00,1
2019-01-10 22:47:00,1
2019-01-11 04:43:00,1
2019-01-12 03:15:00,1
2019-01-12 09:37:00,1
2019-01-13 08:30:00,1
2019-01-13 09:10:00,1
2019-01-14 11:45:00,1
2019-01-16 00:01:00,1
2019-01-17 04:29:00,1
2019-01-17 22:05:00,1
2019-01-17 22:56:00,1
2019-01-18 16:55:00,1
2019-01-19 20:59:00,1
2019-01-20 18:26:00,1
2019-01-22 08:27:00,1
2019-01-22 09:01:00,1
2019-01-22 15:28:00,1
2019-01-23 23:26:00,1
2019-01-24 13:48:00,1
2019-01-25 11:16:00,1
2019-01-25 15:57:00,1
2019-01-25 17:47:00,1
2019-01-25 18:48:00,1
2019-01-26 13:29:00,1
2019-01-26 22:35:00,1
2019-01-27 16:29:00,1
2019-01-27 22:45:00,1
2019-01-28 16:10:00,1
2019-01-28 16:13:00,1
2019-01-29 03:49:00,1
2019-01-29 08:39:00,1
2019-01-29 18:33:00,1
2019-01-30 09:30:00,1
2019-01-30 18:39:00,2
2019-01-31 00:47:00,1
2019-02-01 12:27:00,1
2019-02-01 15:30:00,1
2019-02-01 23:38:00,1
2019-02-02 13:04:00,1
2019-02-02 15:46:00,1
2019-02-04 13:40:00,1
2019-02-04 14:11:00,1
2019-02-04 14:42:00,1
2019-02-06 11:43:00,1
2019-02-06 14:01:00,1
2019-02-08 01:32:00,1
2019-02-08 05:19:00,1
2019-02-08 11:19:00,1
2019-02-08 16:56:00,1
2019-02-08 18:12:00,1
2019-02-08 22:18:00,1
2019-02-09 07:27:00,1
2019-02-09 08:42:00,1
2019-02-09 15:43:00,1
2019-02-09 17:34:00,1
2019-02-10 05:53:00,1
2019-02-10 09:43:00,1
2019-02-10 10:18:00,1
2019-02-10 18:42:00,1
2019-02-11 05:08:00,1
2019-02-11 05:51:00,1
2019-02-11 11:14:00,1
2019-02-11 22:22:00,1
2019-02-11 22:33:00,1
2019-02-12 17:29:00,1
2019-02-12 19:50:00,1
2019-02-12 19:56:00,1
2019-02-13 14:38:00,1
2019-02-14 03:11:00,1
2019-02-14 11:53:00,1
2019-02-14 12:11:00,1
