4,"SELECT g.specobjid, c.cModelMag_u, c.cModelMag_g, c.cModelMag_r, c.cModelMag_i, c.cModelMag_z, c.cModelMagErr_u, c.cModelMagErr_g, c.cModelMagErr_r, c.cModelMagErr_i, c.cModelMagErr_z into mydb.DR1#_cmodelmag from galspecinfo AS g JOIN SpecPhotoAll AS c ON c.specobjid = g.specobjid JOIN SpecObjAll AS s ON s.specobjid = g.specobjid WHERE s.scienceprimary = #"
2019-07-29 08:01:00,2
2019-07-29 08:02:00,2
