12,"SELECT top # # + cast (p.objId as varchar (#) ) + # + cast (p.objId as varchar (#) ) + # as objID, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.u BETWEEN # AND # AND p.g BETWEEN # AND # AND p.r BETWEEN # AND # AND p.i BETWEEN # AND # AND p.z BETWEEN # AND #"
2019-04-11 04:46:00,1
2019-04-11 04:47:00,2
2019-04-22 08:22:00,2
2019-04-25 14:19:00,1
2019-05-13 11:24:00,1
2019-05-31 06:51:00,1
2019-05-31 11:18:00,1
2019-08-18 08:31:00,1
2019-12-03 15:15:00,1
2019-12-24 09:43:00,1
