3,"SELECT ra, dec, z from specPhoto WHERE cModelMag_g> # and cModelMag_g< # and psfMag_g< # and ModelMagErr_g< # and cModelMagErr_r< # and cModelMag_u - cModelMag_g > # and psfMag_u -psfMag_g > # and cModelMag_g - cModelMag_r < # and psfMag_r - psfMag_g > # and cModelMag_r - cModelMag_i < # and psfMag_r - psfMag_i < # and (cModelMag_r - cModelMag_g > # or cModelMag_i - cModelMag_g > #) and (psfMag_r - psfMag_g > # or psfMag_i - psfMag_g > #) and cModelMag_g - cModelMag_i < #"
2019-02-20 08:56:00,1
2019-02-20 08:57:00,1
2019-02-20 09:06:00,1
