9268,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid, GN.distance FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON p.objID = GN.objID WHERE s.z> # AND s.z< #"
2019-10-18 03:00:00,111
2019-10-18 03:01:00,149
2019-10-18 03:02:00,135
2019-10-18 03:03:00,156
2019-10-18 03:04:00,154
2019-10-18 03:05:00,154
2019-10-18 03:06:00,138
2019-10-18 03:07:00,145
2019-10-18 03:08:00,167
2019-10-18 03:09:00,166
2019-10-18 03:10:00,155
2019-10-18 03:11:00,150
2019-10-18 03:12:00,152
2019-10-18 03:13:00,154
2019-10-18 03:14:00,160
2019-10-18 03:15:00,164
2019-10-18 03:16:00,163
2019-10-18 03:17:00,162
2019-10-18 03:18:00,150
2019-10-18 03:19:00,160
2019-10-18 03:20:00,154
2019-10-18 03:21:00,156
2019-10-18 03:22:00,151
2019-10-18 03:23:00,158
2019-10-18 03:24:00,153
2019-10-18 03:25:00,157
2019-10-18 03:26:00,156
2019-10-18 03:27:00,160
2019-10-18 03:28:00,156
2019-10-18 03:29:00,150
2019-10-18 03:30:00,154
2019-10-18 03:31:00,158
2019-10-18 03:32:00,153
2019-10-18 03:33:00,157
2019-10-18 03:34:00,158
2019-10-18 03:35:00,141
2019-10-18 03:36:00,149
2019-10-18 03:37:00,145
2019-10-18 03:38:00,152
2019-10-18 03:39:00,128
2019-10-18 03:40:00,144
2019-10-18 03:41:00,148
2019-10-18 03:42:00,144
2019-10-18 03:43:00,157
2019-10-18 03:44:00,161
2019-10-18 03:45:00,149
2019-10-18 03:46:00,153
2019-10-18 03:47:00,153
2019-10-18 03:48:00,161
2019-10-18 03:49:00,154
2019-10-18 03:50:00,159
2019-10-18 03:51:00,146
2019-10-18 03:52:00,137
2019-10-18 03:53:00,133
2019-10-18 03:54:00,138
2019-10-18 03:55:00,159
2019-10-18 03:56:00,158
2019-10-18 03:57:00,158
2019-10-18 03:58:00,157
2019-10-18 03:59:00,157
2019-10-18 04:00:00,151
