2,"SELECT s.ra, s.dec FROM #upload u, SpecObj s WHERE u.up_plate = # and u.up_mjd = s.mjd and u.up_fiber = s.fiberid"
2019-01-15 19:57:00,1
2019-01-15 19:58:00,1
