3,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s WHERE (s.class = #) AND s.zWarning = #"
2019-02-05 11:53:00,1
2019-04-05 17:51:00,1
2019-04-13 02:21:00,1
