39,"SELECT p.objid, z.z as pz, z.zErr as pzErr FROM photoObjAll p, photoz z, dbo.fgetNearByObjEq (#, #, #) n WHERE p.objid = n.objid AND p.objid = z.objid AND z.objid = n.objid AND z.photoErrorClass = #"
2019-01-31 17:27:00,1
2019-01-31 17:28:00,1
2019-01-31 17:31:00,1
2019-01-31 17:33:00,2
2019-01-31 17:49:00,1
2019-01-31 17:51:00,1
2019-01-31 17:52:00,1
2019-01-31 19:21:00,1
2019-01-31 19:58:00,1
2019-01-31 20:11:00,1
2019-01-31 20:13:00,1
2019-01-31 22:01:00,1
2019-02-01 16:25:00,1
2019-02-01 17:42:00,1
2019-02-01 20:27:00,1
2019-02-01 20:32:00,1
2019-02-04 16:14:00,1
2019-02-04 16:59:00,1
2019-02-04 17:02:00,1
2019-02-07 19:22:00,1
2019-02-15 20:39:00,1
2019-02-19 20:04:00,1
2019-02-19 21:01:00,1
2019-02-19 21:28:00,1
2019-02-20 19:33:00,1
2019-02-20 19:42:00,1
2019-02-20 19:43:00,1
2019-02-20 19:44:00,1
2019-02-20 19:45:00,1
2019-02-25 21:44:00,1
2019-03-07 21:15:00,1
2019-03-07 21:16:00,1
2019-03-07 21:20:00,2
2019-03-07 21:22:00,1
2019-03-13 18:27:00,1
2019-03-13 18:31:00,1
2019-03-13 19:10:00,1
