203,"SELECT p.objid, s.z FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.objid IN (#, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #"
2019-07-22 01:08:00,2
2019-07-22 01:09:00,3
2019-07-22 01:10:00,3
2019-07-22 01:11:00,2
2019-07-22 01:12:00,3
2019-07-22 01:13:00,3
2019-07-22 01:14:00,3
2019-07-22 01:15:00,3
2019-07-22 01:16:00,3
2019-07-22 01:17:00,3
2019-07-22 01:18:00,3
2019-07-22 01:19:00,3
2019-07-22 01:20:00,3
2019-07-22 01:21:00,3
2019-07-22 01:22:00,3
2019-07-22 01:23:00,3
2019-07-22 01:24:00,3
2019-07-22 01:25:00,3
2019-07-22 01:26:00,3
2019-07-22 01:27:00,3
2019-07-22 01:28:00,3
2019-07-22 01:29:00,3
2019-07-22 01:30:00,3
2019-07-22 01:31:00,2
2019-07-22 01:32:00,3
2019-07-22 01:33:00,3
2019-07-22 01:34:00,3
2019-07-22 01:35:00,3
2019-07-22 01:36:00,3
2019-07-22 01:37:00,3
2019-07-22 01:38:00,3
2019-07-22 01:39:00,3
2019-07-22 01:40:00,3
2019-07-22 01:41:00,3
2019-07-22 01:42:00,3
2019-07-22 01:43:00,3
2019-07-22 01:44:00,3
2019-07-22 01:45:00,3
2019-07-22 01:46:00,3
2019-07-22 01:47:00,3
2019-07-22 01:48:00,3
2019-07-22 01:49:00,2
2019-07-22 01:50:00,3
2019-07-22 01:51:00,3
2019-07-22 01:52:00,3
2019-07-22 01:53:00,3
2019-07-22 01:54:00,3
2019-07-22 01:55:00,3
2019-07-22 01:56:00,3
2019-07-22 01:57:00,3
2019-07-22 01:58:00,2
2019-07-22 01:59:00,3
2019-07-22 02:00:00,2
2019-07-22 02:01:00,3
2019-07-22 02:02:00,2
2019-07-22 02:03:00,3
2019-07-22 02:04:00,2
2019-07-22 02:05:00,3
2019-07-22 02:06:00,1
2019-07-24 04:50:00,1
2019-07-24 04:51:00,2
2019-07-24 04:56:00,4
2019-07-24 04:57:00,3
2019-07-24 04:58:00,3
2019-07-24 04:59:00,2
2019-07-24 05:00:00,3
2019-07-24 05:01:00,3
2019-07-24 05:02:00,3
2019-07-24 05:03:00,3
2019-07-24 05:04:00,3
2019-07-24 05:05:00,1
2019-07-24 05:06:00,2
2019-07-24 05:23:00,1
2019-07-24 05:28:00,1
2019-07-24 05:29:00,1
