23,select * from Photoz where objid = undefined
2019-01-14 05:41:00,1
2019-01-15 17:24:00,1
2019-01-16 22:50:00,1
2019-01-18 03:13:00,1
2019-02-11 01:41:00,1
2019-02-12 01:41:00,1
2019-02-13 03:27:00,1
2019-02-15 05:40:00,1
2019-02-16 17:49:00,2
2019-02-18 16:20:00,1
2019-02-20 21:47:00,1
2019-02-21 22:39:00,1
2019-02-23 02:10:00,1
2019-03-14 03:49:00,1
2019-03-15 11:25:00,1
2019-03-17 02:04:00,1
2019-03-18 15:34:00,1
2019-03-20 05:58:00,1
2019-03-22 00:26:00,1
2019-03-23 20:52:00,1
2019-12-10 01:30:00,1
2019-12-12 03:47:00,1
